ticker,ek9,volatility,observations,start_date,end_date
ADESE,0.69307008902881,0.018415794658271405,63,2026-06-10,2026-09-08
AEFES,0.6453674326376452,0.02127795404174129,63,2026-06-10,2026-09-08
AFYON,0.7155757092195436,0.017065457446827383,63,2026-06-10,2026-09-08
AGROT,0.4468040681724741,0.03319175590965155,63,2026-06-10,2026-09-08
AKCNS,0.5453682468944863,0.02727790518633082,63,2026-06-10,2026-09-08
AKSA,0.5647481109013013,0.026115113345921925,63,2026-06-10,2026-09-08
AKSEN,0.3996035326748779,0.03602378803950732,63,2026-06-10,2026-09-08
ALTNY,0.41154744133444365,0.03530715351993338,63,2026-06-10,2026-09-08
AYGAZ,0.5420919909084556,0.027474480545492664,63,2026-06-10,2026-09-08
BALSU,0.051657634391187424,0.05690054193652875,63,2026-06-10,2026-09-08
BFREN,0.7821300959994373,0.013072194240033762,63,2026-06-10,2026-09-08
BIMAS,0.6840389486567133,0.0189576630805972,63,2026-06-10,2026-09-08
BRSAN,0.4747408054219385,0.03151555167468369,63,2026-06-10,2026-09-08
BUCIM,0.7107093870705706,0.01735743677576576,63,2026-06-10,2026-09-08
CCOLA,0.5888484275142082,0.02466909434914751,63,2026-06-10,2026-09-08
CIMSA,0.6958337735845014,0.018249973584929916,63,2026-06-10,2026-09-08
EFOR,0.23098672434865009,0.04614079653908099,63,2026-06-10,2026-09-08
EGEEN,0.6406418728255794,0.02156148763046524,63,2026-06-10,2026-09-08
ENKAI,0.6720181975937354,0.019678908144375878,63,2026-06-10,2026-09-08
ERBOS,0.6423825899607862,0.021457044602352825,63,2026-06-10,2026-09-08
EREGL,0.609703485071023,0.02341779089573862,63,2026-06-10,2026-09-08
FROTO,0.7204071677247171,0.016775569936516972,63,2026-06-10,2026-09-08
GLRMK,0.5826288673275782,0.025042267960345303,63,2026-06-10,2026-09-08
GOLTS,0.7361414910680896,0.015831510535914625,63,2026-06-10,2026-09-08
IHLGM,0.6751931101610052,0.019488413390339684,63,2026-06-10,2026-09-08
ISDMR,0.6204627029159838,0.02277223782504097,63,2026-06-10,2026-09-08
KARSN,0.44181609761375473,0.03349103414317472,63,2026-06-10,2026-09-08
LMKDC,0.6261657946337713,0.022430052321973717,63,2026-06-10,2026-09-08
MGROS,0.6302552184110357,0.022184686895337855,63,2026-06-10,2026-09-08
MPARK,0.668744347120324,0.019875339172780556,63,2026-06-10,2026-09-08
NUHCM,0.7852100008429794,0.012887399949421237,63,2026-06-10,2026-09-08
OBAMS,0.5128289592949986,0.029230262442300082,63,2026-06-10,2026-09-08
ODINE,0.032401576829919954,0.058055905390204804,63,2026-06-10,2026-09-08
PATEK,0.4131153941376522,0.03521307635174087,63,2026-06-10,2026-09-08
RGYAS,0.7343778138924175,0.01593733116645495,63,2026-06-10,2026-09-08
SARKY,0.5537611078980855,0.02677433352611487,63,2026-06-10,2026-09-08
SAYAS,0.3537205454474791,0.038776767273151255,63,2026-06-10,2026-09-08
SELEC,0.2207759077021606,0.046753445537870364,63,2026-06-10,2026-09-08
TABGD,0.5711857512794507,0.02572885492323296,63,2026-06-10,2026-09-08
THYAO,0.6848307195894038,0.018910156824635774,63,2026-06-10,2026-09-08
TOASO,0.6006538059844233,0.023960771640934603,63,2026-06-10,2026-09-08
TTKOM,0.6651325289197753,0.020092048264813485,63,2026-06-10,2026-09-08
TTRAK,0.7686313993608354,0.013882116038349875,63,2026-06-10,2026-09-08
TUKAS,0.770955074692054,0.013742695518476756,63,2026-06-10,2026-09-08
TUPRS,0.5637152626906186,0.026177084238562888,63,2026-06-10,2026-09-08
TUREX,0.5851737969071379,0.024889572185571727,63,2026-06-10,2026-09-08
ULKER,0.6878015934652173,0.018731904392086964,63,2026-06-10,2026-09-08
ULUUN,0.47072465298084365,0.03175652082114938,63,2026-06-10,2026-09-08
YATAS,0.6300005522074253,0.022199966867554478,63,2026-06-10,2026-09-08
YEOTK,0.354624579124595,0.0387225252525243,63,2026-06-10,2026-09-08
YYLGD,0.7274840502740114,0.016350956983559314,63,2026-06-10,2026-09-08
