ticker,cell_count,first_month,last_month,months
ADEL,3,2024-10,2024-12,2024-10|2024-11|2024-12
AEFES,35,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
AGHOL,54,2021-10,2026-06,2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06
AGROT,15,2024-04,2025-06,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06
AHGAZ,13,2023-07,2025-06,2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2025-04|2025-05|2025-06
AKFYE,15,2023-10,2025-03,2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03
AKSEN,32,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
ALARK,57,2021-08,2026-07,2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
ALFAS,8,2023-04,2023-11,2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11
ALGYO,2,2022-04,2022-05,2022-04|2022-05
ALTNY,22,2024-10,2026-07,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
ARASE,3,2022-04,2022-06,2022-04|2022-05|2022-06
ARCLK,33,2023-08,2026-07,2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
ARDYZ,7,2024-12,2025-06,2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06
ASELS,32,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
ASTOR,23,2023-07,2025-08,2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08
ASUZU,1,2023-09,2023-09,2023-09
AYDEM,24,2021-10,2023-09,2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09
BAGFS,1,2023-09,2023-09,2023-09
BALSU,5,2026-03,2026-07,2026-03|2026-04|2026-05|2026-06|2026-07
BASGZ,11,2022-04,2023-02,2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02
BERA,48,2021-08,2026-07,2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2026-07
BFREN,3,2024-04,2024-09,2024-04|2024-08|2024-09
BIENY,7,2023-10,2024-04,2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04
BIMAS,35,2023-09,2026-07,2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06|2026-07
BINHO,12,2024-07,2025-12,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12
