hisse,islem,tarih,kapanis_fiyati_tl,pay,neden,skor_yuzdelik,pddd,pddd_yuzdelik,bilanco_donemi,bilanco_yayim,getiri_alistan
TCELL,AL,2025-02-03,105.6,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,1.0,1.36,0.393,2024-09-30,2024-11-07 19:27:22+03:00,
TCELL,SAT,2025-03-24,89.6,1.0,IZ_SUREN_STOP,,,,,,-0.1515
THYAO,AL,2025-02-03,313.75,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.96,0.71,0.148,2024-09-30,2024-11-04 18:20:15+03:00,
THYAO,SAT,2025-06-16,265.25,1.0,IZ_SUREN_STOP,,,,,,-0.1434
ARCLK,AL,2025-03-03,127.6,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.907,1.28,0.41,2024-12-31,2025-01-31 18:47:17+03:00,
ARCLK,SAT,2025-04-29,116.4,1.0,IZ_SUREN_STOP,,,,,,-0.0878
EREGL,AL,2025-03-03,22.5,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.947,0.66,0.164,2024-12-31,2025-02-12 18:19:41+03:00,
EREGL,SAT,2025-08-20,29.3,0.5,KAR_AL_YARISI,,,,,,0.3145
EREGL,SAT,2025-11-11,24.48,0.5,IZ_SUREN_STOP,,,,,,0.0983
PGSUS,AL,2025-03-03,247.2,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.987,1.59,0.492,2024-09-30,2024-11-11 19:46:30+03:00,
PGSUS,SAT,2025-05-02,232.9,1.0,IZ_SUREN_STOP,,,,,,-0.0578
MGROS,AL,2025-03-11,522.0,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.92,1.75,0.492,2024-09-30,2024-11-05 19:33:52+03:00,
MGROS,SAT,2025-09-10,434.25,1.0,IZ_SUREN_STOP,,,,,,-0.1565
DOAS,AL,2025-04-02,222.7,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.958,0.92,0.228,2024-12-31,2025-02-28 18:30:54+03:00,
DOAS,SAT,2025-06-20,167.6,1.0,IZ_SUREN_STOP,,,,,,-0.1459
DOHOL,AL,2025-04-02,16.13,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.931,0.66,0.123,2024-12-31,2025-03-05 05:47:36+03:00,
DOHOL,SAT,2026-01-27,21.18,0.5,KAR_AL_YARISI,,,,,,0.3343
DOHOL,ACIK,2026-07-30,21.26,0.5,ACIK,,,,,,0.3393
ENKAI,AL,2025-04-02,60.7,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.972,1.37,0.368,2024-12-31,2025-03-05 23:26:29+03:00,
ENKAI,SAT,2025-10-27,76.0,0.5,KAR_AL_YARISI,,,,,,0.3147
ENKAI,SAT,2026-02-02,94.4,0.5,KAR_AL_TAMAMI,,,,,,0.65
TCELL,AL,2025-06-02,91.0,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.931,0.99,0.316,2025-03-31,2025-05-09 19:10:21+03:00,
TCELL,SAT,2026-01-27,114.4,0.5,KAR_AL_YARISI,,,,,,0.3076
TCELL,SAT,2026-06-01,102.6,0.5,IZ_SUREN_STOP,,,,,,0.1727
TTKOM,AL,2025-06-02,54.95,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.944,1.17,0.386,2025-03-31,2025-05-07 18:37:40+03:00,
TTKOM,SAT,2025-09-15,52.0,1.0,IZ_SUREN_STOP,,,,,,-0.0537
AKSEN,AL,2025-08-01,41.34,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,1.0,1.08,0.316,2025-03-31,2025-05-12 19:49:08+03:00,
AKSEN,SAT,2025-11-04,57.5,0.5,KAR_AL_YARISI,,,,,,0.3909
AKSEN,SAT,2026-01-02,68.9,0.5,KAR_AL_TAMAMI,,,,,,0.6667
TUPRS,AL,2025-08-01,165.9,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.903,1.06,0.298,2025-06-30,2025-07-29 18:33:39+03:00,
TUPRS,SAT,2026-01-14,218.5,0.5,KAR_AL_YARISI,,,,,,0.3696
TUPRS,SAT,2026-04-14,267.5,0.5,KAR_AL_TAMAMI,,,,,,0.7456
ALARK,AL,2025-12-01,92.9,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.972,0.54,0.121,2025-09-30,2025-11-07 23:22:53+03:00,
ALARK,SAT,2026-03-16,89.1,1.0,IZ_SUREN_STOP,,,,,,-0.0409
MGROS,AL,2025-12-01,529.0,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.958,1.25,0.466,2025-09-30,2025-11-06 20:04:21+03:00,
MGROS,SAT,2026-02-17,688.0,0.5,KAR_AL_YARISI,,,,,,0.3006
MGROS,ACIK,2026-07-30,623.0,0.5,ACIK,,,,,,0.1857
TTKOM,AL,2025-12-01,57.35,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.901,0.96,0.345,2025-09-30,2025-11-04 19:35:56+03:00,
TTKOM,SAT,2026-03-25,58.8,1.0,IZ_SUREN_STOP,,,,,,0.0253
ULKER,AL,2025-12-01,112.3,1.0,SKOR_AL_VE_PDDD_UCUZ_YARI,0.944,1.02,0.362,2025-09-30,2025-11-07 18:16:01+03:00,
ULKER,SAT,2026-03-13,109.0,1.0,IZ_SUREN_STOP,,,,,,-0.0294
