ticker,company_name,snapshot_date
AEFES,ANADOLU EFES,2026-08-17
AKBNK,AKBANK,2026-08-17
AKSA,AKSA,2026-08-17
AKSEN,AKSA ENERJI,2026-08-17
ALARK,ALARKO HOLDING,2026-08-17
ALTNY,ALTINAY SAVUNMA,2026-08-17
ANSGR,ANADOLU SIGORTA,2026-08-17
ARCLK,ARCELIK,2026-08-17
ASELS,ASELSAN,2026-08-17
ASTOR,ASTOR ENERJI,2026-08-17
BALSU,BALSU GIDA,2026-08-17
BERA,BERA HOLDING,2026-08-17
BIMAS,BIM MAGAZALAR,2026-08-17
BRSAN,BORUSAN BORU SANAYI,2026-08-17
BRYAT,BORUSAN YAT. PAZ.,2026-08-17
BSOKE,BATICIM CIMENTO,2026-08-17
BTCIM,BATICIM BATI ANADOLU,2026-08-17
CANTE,CAN2 TERMIK,2026-08-17
CCOLA,COCA COLA ICECEK,2026-08-17
CIMSA,CIMSA,2026-08-17
CVKMD,CVK MADEN,2026-08-17
CWENE,CW ENERJI,2026-08-17
DAPGM,DAP GAYRIMENKUL,2026-08-17
DOAS,DOGUS OTOMOTIV,2026-08-17
DOHOL,DOGAN HOLDING,2026-08-17
DSTKF,DESTEK FINANS FAKTORING,2026-08-17
ECILC,ECZACIBASI ILAC,2026-08-17
EFOR,EFOR YATIRIM,2026-08-17
EKGYO,EMLAK KONUT GMYO,2026-08-17
ENERY,ENERYA ENERJI,2026-08-17
ENJSA,ENERJISA ENERJI,2026-08-17
ENKAI,ENKA INSAAT,2026-08-17
EREGL,EREGLI DEMIR CELIK,2026-08-17
ESEN,ESENBOGA ELEKTRIK,2026-08-17
EUPWR,EUROPOWER ENERJI,2026-08-17
EUREN,EUROPEN ENDUSTRI,2026-08-17
FENER,FENERBAHCE FUTBOL,2026-08-17
FROTO,FORD OTOSAN,2026-08-17
GARAN,GARANTI BANKASI,2026-08-17
GENIL,GEN ILAC,2026-08-17
GESAN,GIRISIM ELEKTRIK SANAYI,2026-08-17
GLRMK,GULERMAK AGIR SANAYI,2026-08-17
GRSEL,GUR-SEL TURIZM TASIMACILIK,2026-08-17
GRTHO,GRAINTURK HOLDING,2026-08-17
GSRAY,GALATASARAY SPORTIF,2026-08-17
GUBRF,GUBRE FABRIK.,2026-08-17
HALKB,T. HALK BANKASI,2026-08-17
HEKTS,HEKTAS,2026-08-17
IEYHO,ISIKLAR ENERJI YAPI HOL.,2026-08-17
ISCTR,IS BANKASI (C),2026-08-17
ISMEN,IS Y. MEN. DEG.,2026-08-17
IZENR,IZDEMIR ENERJI,2026-08-17
KCHOL,KOC HOLDING,2026-08-17
KLRHO,KILER HOLDING,2026-08-17
KRDMD,KARDEMIR (D),2026-08-17
KTLEV,KATILIMEVIM TAS. FIN.,2026-08-17
KUYAS,KUYAS YATIRIM,2026-08-17
MAGEN,MARGUN ENERJI,2026-08-17
MAVI,MAVI GIYIM,2026-08-17
MGROS,MIGROS TICARET,2026-08-17
MIATK,MIA TEKNOLOJI,2026-08-17
MPARK,MLP SAGLIK,2026-08-17
OBAMS,OBA MAKARNACILIK,2026-08-17
ODAS,ODAS ELEKTRIK,2026-08-17
ODINE,ODINE TEKNOLOJI,2026-08-17
OTKAR,OTOKAR,2026-08-17
OYAKC,OYAK CIMENTO,2026-08-17
PAHOL,PASIFIK HOLDING,2026-08-17
PASEU,PASIFIK EURASIA LOJISTIK,2026-08-17
PATEK,PASIFIK TEKNOLOJI,2026-08-17
PETKM,PETKIM,2026-08-17
PGSUS,PEGASUS,2026-08-17
PSGYO,PASIFIK GMYO,2026-08-17
QUAGR,QUA GRANITE HAYAL YAPI,2026-08-17
RALYH,RAL YATIRIM HOLDING,2026-08-17
REEDR,REEDER TEKNOLOJI,2026-08-17
SAHOL,SABANCI HOLDING,2026-08-17
SARKY,SARKUYSAN,2026-08-17
SASA,SASA POLYESTER,2026-08-17
SISE,SISE CAM,2026-08-17
SKBNK,SEKERBANK,2026-08-17
SOKM,SOK MARKETLER TICARET,2026-08-17
TAVHL,TAV HAVALIMANLARI,2026-08-17
TCELL,TURKCELL,2026-08-17
THYAO,TURK HAVA YOLLARI,2026-08-17
TKFEN,TEKFEN HOLDING,2026-08-17
TOASO,TOFAS OTO. FAB.,2026-08-17
TRALT,TURK ALTIN ISLETMELERI,2026-08-17
TRENJ,TR DOGAL ENERJI,2026-08-17
TRMET,TR ANADOLU METAL MADENCILIK,2026-08-17
TSKB,T.S.K.B.,2026-08-17
TTKOM,TURK TELEKOM,2026-08-17
TUKAS,TUKAS,2026-08-17
TUPRS,TUPRAS,2026-08-17
TURSG,TURKIYE SIGORTA,2026-08-17
ULKER,ULKER BISKUVI,2026-08-17
VAKBN,VAKIFLAR BANKASI,2026-08-17
VESTL,VESTEL,2026-08-17
YKBNK,YAPI VE KREDI BANK.,2026-08-17
ZOREN,ZORLU ENERJI,2026-08-17
