effective_date,old_ticker,new_ticker,source_workbook_sha256,event_sha256
2021-08-02,AVISA,AGESA,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,b38f4c2609b776f93d982cbbff1cd4baf7c1ef08d0941a90bfb372c0b195735f
2021-11-01,MAREN,MAGEN,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,31962b6c8324ef723ea52ae339508487cba4f5c9ab024f93b5fadcf5fba280c7
2021-11-01,TKURU,TETMT,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,003821e9270c9cb25ec92f54f43ce8b59f06d566d5bce63935f11ac9c9ca6b5d
2022-01-03,DGKLB,DGNMO,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,ca6fcaebcd8a2c71cd16a8aad5a9ea91115280d7c09180660dcc495a4388c971
2022-01-03,TACTR,OTTO,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,627285b47852fb19bf4327bf11058040ee7c9e885ef2d0abcadeb54564b59e97
2022-05-05,IZTAR,IZINV,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,511c6354ff516e53f6124c264da5406928b47f5cff40c793df2e2c415458a2f6
2022-06-01,FPREP,RPFGY,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,0244461277512badd67d09699dbc5309c4f79f766f4982b1431c496ab6c3813e
2022-09-01,SERVE,KUVVA,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,8ed2617263c73b3f538b3cd0d6f8096f81d4a7087994fa2f579a49eaac74e974
2022-10-03,UTPYA,ZEDUR,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,0afebea575fd70c0303e6428c53713e3e1e5e6e57eb413aba515094652b9b6e1
2022-11-01,TIRE,MNDTR,cb5e2fc5ed8bd69b75db7707f0078facc3b900ae14cb51e8f3a286e13cf239b5,18a2f71d920bcb27de761eecc980f2cd1e3069622735e2a6ae40ecedf4e9a302
