file,sheet,row,joined
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,7, | Borçlanma Araçları Piyasası ve Yurt Dışı Sermaye Piyasası Araçları Piyasası Finansal Araçlar Değerleme Bülteni | /data/tfd/YYYY/AA/ | tfdYYYYAAGG.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,8, | Geçici Kapanış Bültenleri | /data/tgk/YYYY/AA/ | tgkYYYYAAGGS.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,9, | Bülten Verileri | /data/thb/YYYY/AA/ | thbYYYYAAGGS.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,12, | Borçlanma Araçları Piyasası Günlük Bültenleri | /data/ttb/YYYY/AA/ | ttbYYYYAAGG3.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,13, | Borçlanma Araçları Piyasası Saat 14:00 Geçici Bültenleri | /data/ttb/YYYY/AA/ | ttbYYYYAAGG1.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,14, | Yurt Dışı Sermaye Piyasası Araçları Piyasası Günlük Bültenleri | /data/tub/YYYY/AA/ | tubYYYYAAGG.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,23," | Pay Piyasası, Borçlanma Araçları Piyasası'nda Gerçekleşen Rekorlar | /datum/ | rekor.zip"
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,36, | Borçlanma Araçları Piyasası Para Piyasası Günlük Bülteni | /data/ttb/YYYY/AA/ | ttbYYYYAAGG2.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,37, | Borçlanma Araçları Piyasası Günlük Özet Bülten | /data/bappiyasaozet/ | piyasaozet_YYYYAAGG.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,38, | Borçlanma Araçları Piyasası Günlük Kısa Bülten | /data/bapbultenozet/ | bultenozet_YYYYAAGG.zip
VerilerDosyaIsimleri.xlsx,TR - www.borsaistanbul.com,40, | Kıymetli Madenler Piyasası Günlük Bülten | /data/kmpbltn/YYYY/AA/ | KMPYYYYAAGG.zip
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,6, | Bulletin Data | /data/ehb/YYYY/AA/ | ehbYYYYAAGGS.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,7, | Debt Securities Market Temporary Bulletins at 14:00 | /data/etb/YYYY/AA/ | etbYYYYAAGG1.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,8, | Debt Securities Market Daily Bulletins | /data/ttb/YYYY/AA/ | ttbYYYYAAGG3.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,9, | Foreign Securities Market Daily Bulletin | /data/eub/YYYY/AA/ | eubYYYYAAGG.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,12, | Realized or Expected Capital Increases of Companies Traded on the Equity Market | /data/capitalraise/ | capitalraiseYYYY.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,29, | Offering Market for Qualified Investors Daily Bulletin Data | /data/NIPGB/ | NIPGBYYYY.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,33, | Emerging Companies Market Data | /datum/ | TopHacMikSozGIP_eng.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,37, | Futures and Options Market Data | /datum/ | viop.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,39, | Debt Securities Market Money Market Daily Bulletin | /data/etb/YYYY/AA/ | etbYYYYAAGG2.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,40, | Debt Securities Market Daily Summary Bulletin | /data/bappiyasaozet/ | piyasaozet_YYYYAAGG.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,41, | Debt Securities Market Daily Bulletin | /data/bapbultenozet/ | bultenozet_YYYYAAGG.zip | 
VerilerDosyaIsimleri.xlsx,EN - www.borsaistanbul.com,43, | Precious Metals Market Bulletins Daily Bulletin | /data/kmtpbltn/YYYY/AA | PMDYYYYAAGG.zip | 
._VerilerDosyaIsimleri.xlsx,ERROR,0,BadZipFile('File is not a zip file')
