ticker,yahoo_symbol,action_date,cash_dividend_per_share,split_factor
ADEL,ADEL.IS,2021-01-05,0.057727,0.0
ADEL,ADEL.IS,2021-09-30,0.057727,0.0
ADEL,ADEL.IS,2022-09-28,0.057727,0.0
ADEL,ADEL.IS,2023-09-27,0.069273,0.0
ADEL,ADEL.IS,2024-09-26,0.577209,0.0
ADEL,ADEL.IS,2025-09-26,0.5773,0.0
AEFES,AEFES.IS,2020-07-14,0.1774,0.0
AEFES,AEFES.IS,2021-05-28,0.19348,0.0
AEFES,AEFES.IS,2022-05-20,0.18545,0.0
AEFES,AEFES.IS,2023-05-23,0.10657,0.0
AEFES,AEFES.IS,2023-09-18,0.10657,0.0
AEFES,AEFES.IS,2024-05-28,0.235,0.0
AEFES,AEFES.IS,2025-05-27,0.1274,0.0
AEFES,AEFES.IS,2026-05-13,0.16975,0.0
AFYON,AFYON.IS,2022-03-31,0.045,0.0
AFYON,AFYON.IS,2023-06-01,0.2,0.0
AFYON,AFYON.IS,2024-06-03,0.4,0.0
AFYON,AFYON.IS,2025-04-08,1.0,0.0
AFYON,AFYON.IS,2026-04-01,1.5,0.0
AGHOL,AGHOL.IS,2021-02-05,0.012319,0.0
AGHOL,AGHOL.IS,2021-05-31,0.016425,0.0
AGHOL,AGHOL.IS,2022-05-25,0.024637,0.0
AGHOL,AGHOL.IS,2023-05-24,0.082124,0.0
AGHOL,AGHOL.IS,2024-05-29,0.287434,0.0
AGHOL,AGHOL.IS,2025-05-28,0.513274,0.0
AGHOL,AGHOL.IS,2026-05-20,0.698053,0.0
AHGAZ,AHGAZ.IS,2024-07-24,0.019231,0.0
AKBNK,AKBNK.IS,2021-03-26,0.1204,0.0
AKBNK,AKBNK.IS,2022-03-30,0.233,0.0
AKBNK,AKBNK.IS,2023-03-30,1.73,0.0
AKBNK,AKBNK.IS,2024-03-26,1.9175,0.0
AKBNK,AKBNK.IS,2025-03-26,1.222,0.0
AKBNK,AKBNK.IS,2026-03-26,2.2018,0.0
AKCNS,AKCNS.IS,2021-03-30,0.548299,0.0
AKCNS,AKCNS.IS,2022-05-09,0.48,0.0
AKCNS,AKCNS.IS,2023-03-27,1.305844,0.0
AKCNS,AKCNS.IS,2024-04-15,6.006882,0.0
AKCNS,AKCNS.IS,2025-03-24,6.268051,0.0
AKCNS,AKCNS.IS,2026-06-01,1.880415,0.0
AKSA,AKSA.IS,2021-04-13,0.0725,0.0
AKSA,AKSA.IS,2022-04-21,0.154167,0.0
AKSA,AKSA.IS,2023-04-11,0.200833,0.0
AKSA,AKSA.IS,2024-04-03,0.416667,0.0
AKSA,AKSA.IS,2025-05-21,0.48,0.0
AKSA,AKSA.IS,2026-04-03,0.58,0.0
AKSEN,AKSEN.IS,2022-07-20,0.570805,0.0
AKSEN,AKSEN.IS,2023-05-03,0.815436,0.0
AKSEN,AKSEN.IS,2024-06-06,1.304697,0.0
ALARK,ALARK.IS,2020-10-23,0.079,0.0
ALARK,ALARK.IS,2021-05-11,0.138,0.0
ALARK,ALARK.IS,2022-05-06,0.23,0.0
ALARK,ALARK.IS,2023-05-31,0.33,0.0
ALARK,ALARK.IS,2023-06-01,0.7,0.0
ALARK,ALARK.IS,2023-08-25,0.35,0.0
ALARK,ALARK.IS,2023-11-15,0.23,0.0
ALARK,ALARK.IS,2024-05-30,0.9686,0.0
ALARK,ALARK.IS,2025-04-17,2.6,0.0
ALARK,ALARK.IS,2026-05-04,3.185,0.0
ALBRK,ALBRK.IS,2025-04-15,0.172418,0.0
ALBRK,ALBRK.IS,2026-04-15,0.261802,0.0
ALFAS,ALFAS.IS,2023-05-03,0.5,0.0
ALFAS,ALFAS.IS,2024-08-14,0.815217,0.0
ALFAS,ALFAS.IS,2025-09-30,0.163043,0.0
ALGYO,ALGYO.IS,2020-07-21,0.02,0.0
ALGYO,ALGYO.IS,2021-05-24,0.024762,0.0
ALGYO,ALGYO.IS,2022-04-25,0.052381,0.0
ALGYO,ALGYO.IS,2023-04-25,0.055556,0.0
ALGYO,ALGYO.IS,2024-06-03,0.003571,0.0
ALGYO,ALGYO.IS,2026-05-12,0.05,0.0
ALKIM,ALKIM.IS,2021-01-06,0.186438,0.0
ALKIM,ALKIM.IS,2021-04-14,0.2603,0.0
ALKIM,ALKIM.IS,2022-04-21,0.398008,0.0
ALKIM,ALKIM.IS,2023-04-12,0.462963,0.0
ANHYT,ANHYT.IS,2021-03-29,0.837209,0.0
ANHYT,ANHYT.IS,2022-03-25,1.023255,0.0
ANHYT,ANHYT.IS,2023-03-28,1.162791,0.0
ANHYT,ANHYT.IS,2024-03-26,2.325581,0.0
ANHYT,ANHYT.IS,2025-03-26,5.813953,0.0
ANHYT,ANHYT.IS,2026-03-26,8.139535,0.0
ANSGR,ANSGR.IS,2021-03-30,0.08,0.0
ANSGR,ANSGR.IS,2025-03-28,1.05,0.0
ANSGR,ANSGR.IS,2026-04-01,1.375,0.0
ARASE,ARASE.IS,2022-08-01,0.65746,0.0
ARASE,ARASE.IS,2023-07-17,0.338289,0.0
ARASE,ARASE.IS,2024-09-23,0.913671,0.0
ARASE,ARASE.IS,2025-08-18,2.2,0.0
ARASE,ARASE.IS,2026-06-24,2.0,0.0
ARCLK,ARCLK.IS,2021-03-29,2.219827,0.0
ARCLK,ARCLK.IS,2022-03-28,2.219827,0.0
ARCLK,ARCLK.IS,2023-09-25,2.663793,0.0
ARDYZ,ARDYZ.IS,2020-09-01,0.009118,0.0
ARDYZ,ARDYZ.IS,2021-12-30,0.001999,0.0
ARDYZ,ARDYZ.IS,2022-12-15,0.0066,0.0
ARDYZ,ARDYZ.IS,2023-12-25,0.015294,0.0
ARDYZ,ARDYZ.IS,2024-07-03,0.022412,0.0
ARDYZ,ARDYZ.IS,2025-11-17,0.032448,0.0
ASELS,ASELS.IS,2020-07-17,0.024488,0.0
ASELS,ASELS.IS,2020-10-16,0.024488,0.0
ASELS,ASELS.IS,2020-12-18,0.024488,0.0
ASELS,ASELS.IS,2021-11-19,0.087719,0.0
ASELS,ASELS.IS,2022-11-16,0.100877,0.0
ASELS,ASELS.IS,2023-11-22,0.087719,0.0
ASELS,ASELS.IS,2024-11-25,0.111842,0.0
ASELS,ASELS.IS,2025-11-25,0.234649,0.0
ASGYO,ASGYO.IS,2024-07-03,0.2,0.0
ASGYO,ASGYO.IS,2026-04-01,0.168319,0.0
ASTOR,ASTOR.IS,2023-05-02,0.529033,0.0
ASTOR,ASTOR.IS,2024-07-31,1.320483,0.0
ASTOR,ASTOR.IS,2025-08-18,1.512088,0.0
ASUZU,ASUZU.IS,2022-06-01,0.119041,0.0
ASUZU,ASUZU.IS,2023-05-29,0.793651,0.0
ASUZU,ASUZU.IS,2024-05-29,1.984127,0.0
ASUZU,ASUZU.IS,2025-05-26,1.984127,0.0
ASUZU,ASUZU.IS,2026-05-12,2.380952,0.0
AVPGY,AVPGY.IS,2024-04-17,0.7,0.0
