ticker,yahoo_symbol,status,row_count,date_min,date_max,error
ADEL,ADEL.IS,OK,1523,2020-07-01,2026-07-30,
ADESE,ADESE.IS,OK,1523,2020-07-01,2026-07-30,
AEFES,AEFES.IS,OK,1523,2020-07-01,2026-07-30,
AFYON,AFYON.IS,OK,1522,2020-07-01,2026-07-30,
AGHOL,AGHOL.IS,OK,1523,2020-07-01,2026-07-30,
AGROT,AGROT.IS,OK,672,2023-11-23,2026-07-30,
AHGAZ,AHGAZ.IS,OK,898,2022-12-26,2026-07-30,
AKBNK,AKBNK.IS,OK,1522,2020-07-01,2026-07-30,
AKCNS,AKCNS.IS,OK,1522,2020-07-01,2026-07-30,
AKFGY,AKFGY.IS,OK,1522,2020-07-01,2026-07-30,
AKFYE,AKFYE.IS,OK,844,2023-03-16,2026-07-30,
AKSA,AKSA.IS,OK,1523,2020-07-01,2026-07-30,
AKSEN,AKSEN.IS,OK,1522,2020-07-01,2026-07-30,
ALARK,ALARK.IS,OK,1522,2020-07-01,2026-07-30,
ALBRK,ALBRK.IS,OK,1522,2020-07-01,2026-07-30,
ALFAS,ALFAS.IS,OK,926,2022-11-16,2026-07-30,
ALGYO,ALGYO.IS,OK,1523,2020-07-01,2026-07-30,
ALKIM,ALKIM.IS,OK,1523,2020-07-01,2026-07-30,
ALTNY,ALTNY.IS,OK,553,2024-05-16,2026-07-30,
ANHYT,ANHYT.IS,OK,1522,2020-07-01,2026-07-30,
ANSGR,ANSGR.IS,OK,1523,2020-07-01,2026-07-30,
ARASE,ARASE.IS,OK,1183,2021-11-11,2026-07-30,
ARCLK,ARCLK.IS,OK,1522,2020-07-01,2026-07-30,
ARDYZ,ARDYZ.IS,OK,1522,2020-07-01,2026-07-30,
ASELS,ASELS.IS,OK,1522,2020-07-01,2026-07-30,
ASGYO,ASGYO.IS,OK,587,2024-03-21,2026-07-30,
ASTOR,ASTOR.IS,OK,881,2023-01-18,2026-07-30,
ASUZU,ASUZU.IS,OK,1522,2020-07-01,2026-07-30,
AVPGY,AVPGY.IS,OK,587,2024-03-21,2026-07-30,
AYDEM,AYDEM.IS,OK,1311,2021-04-30,2026-07-30,
AYGAZ,AYGAZ.IS,OK,1522,2020-07-01,2026-07-30,
BAGFS,BAGFS.IS,OK,1522,2020-07-01,2026-07-30,
BALSU,BALSU.IS,OK,360,2025-02-20,2026-07-30,
BASGZ,BASGZ.IS,OK,1285,2021-06-11,2026-07-30,
BERA,BERA.IS,OK,1522,2020-07-01,2026-07-30,
BFREN,BFREN.IS,OK,1522,2020-07-01,2026-07-30,
BIENY,BIENY.IS,OK,801,2023-05-18,2026-07-30,
BIMAS,BIMAS.IS,OK,1525,2020-07-01,2026-07-30,
BINHO,BINHO.IS,OK,588,2024-03-21,2026-07-30,
BIOEN,BIOEN.IS,OK,1314,2021-04-28,2026-07-30,
BJKAS,BJKAS.IS,OK,1522,2020-07-01,2026-07-30,
BOBET,BOBET.IS,OK,1291,2021-06-03,2026-07-30,
BRISA,BRISA.IS,OK,1522,2020-07-01,2026-07-30,
BRSAN,BRSAN.IS,OK,1522,2020-07-01,2026-07-30,
BRYAT,BRYAT.IS,OK,1522,2020-07-01,2026-07-30,
BSOKE,BSOKE.IS,OK,1522,2020-07-01,2026-07-30,
BTCIM,BTCIM.IS,OK,1523,2020-07-01,2026-07-30,
BUCIM,BUCIM.IS,OK,1522,2020-07-01,2026-07-30,
CANTE,CANTE.IS,OK,1312,2021-04-30,2026-07-30,
CCOLA,CCOLA.IS,OK,1523,2020-07-01,2026-07-30,
CEMAS,CEMAS.IS,OK,1522,2020-07-01,2026-07-30,
CEMTS,CEMTS.IS,OK,1522,2020-07-01,2026-07-30,
CIMSA,CIMSA.IS,OK,1522,2020-07-01,2026-07-30,
CLEBI,CLEBI.IS,OK,1522,2020-07-01,2026-07-30,
CVKMD,CVKMD.IS,OK,826,2023-04-13,2026-07-31,
CWENE,CWENE.IS,OK,808,2023-05-10,2026-07-30,
DAPGM,DAPGM.IS,OK,1108,2022-02-24,2026-07-30,
DEVA,DEVA.IS,OK,1522,2020-07-01,2026-07-30,
DOAS,DOAS.IS,OK,1522,2020-07-01,2026-07-30,
DOHOL,DOHOL.IS,OK,1522,2020-07-01,2026-07-30,
DSTKF,DSTKF.IS,OK,370,2025-02-06,2026-07-30,
ECILC,ECILC.IS,OK,1522,2020-07-01,2026-07-30,
ECZYT,ECZYT.IS,OK,1522,2020-07-01,2026-07-30,
EFOR,EFOR.IS,OK,520,2024-07-05,2026-07-30,
EFORC,EFORC.IS,MISSING,0,,,YFTzMissingError('$EFORC.IS: possibly delisted; no timezone found')
EGEEN,EGEEN.IS,OK,1522,2020-07-01,2026-07-30,
EGGUB,EGGUB.IS,OK,1522,2020-07-01,2026-07-30,
EKGYO,EKGYO.IS,OK,1522,2020-07-01,2026-07-30,
ENERY,ENERY.IS,OK,737,2023-08-23,2026-07-30,
ENJSA,ENJSA.IS,OK,1522,2020-07-01,2026-07-30,
ENKAI,ENKAI.IS,OK,1522,2020-07-01,2026-07-30,
ERBOS,ERBOS.IS,OK,1522,2020-07-01,2026-07-30,
EREGL,EREGL.IS,OK,1523,2020-07-01,2026-07-30,
ESEN,ESEN.IS,OK,1454,2020-10-09,2026-07-30,
EUPWR,EUPWR.IS,OK,820,2023-04-20,2026-07-30,
EUREN,EUREN.IS,OK,1038,2022-06-08,2026-07-30,
FENER,FENER.IS,OK,1522,2020-07-01,2026-07-30,
FROTO,FROTO.IS,OK,1523,2020-07-01,2026-07-30,
GARAN,GARAN.IS,OK,1522,2020-07-01,2026-07-30,
GENIL,GENIL.IS,OK,1250,2021-08-05,2026-07-30,
GESAN,GESAN.IS,OK,1240,2021-08-19,2026-07-30,
GLRMK,GLRMK.IS,OK,384,2025-01-17,2026-07-30,
GLYHO,GLYHO.IS,OK,1523,2020-07-01,2026-07-30,
GOLTS,GOLTS.IS,OK,1522,2020-07-01,2026-07-30,
GOZDE,GOZDE.IS,OK,1522,2020-07-01,2026-07-30,
GRSEL,GRSEL.IS,OK,1099,2022-03-09,2026-07-30,
GRTHO,GRTHO.IS,OK,587,2024-03-21,2026-07-30,
GSDHO,GSDHO.IS,OK,1522,2020-07-01,2026-07-30,
GSRAY,GSRAY.IS,OK,1522,2020-07-01,2026-07-30,
GUBRF,GUBRF.IS,OK,1522,2020-07-01,2026-07-30,
GWIND,GWIND.IS,OK,1315,2021-04-22,2026-07-30,
HALKB,HALKB.IS,OK,1522,2020-07-01,2026-07-30,
HDFGS,HDFGS.IS,OK,1522,2020-07-01,2026-07-30,
HEKTS,HEKTS.IS,OK,1522,2020-07-01,2026-07-30,
HLGYO,HLGYO.IS,OK,1526,2020-07-01,2026-07-30,
IEYHO,IEYHO.IS,OK,1522,2020-07-01,2026-07-30,
IHLAS,IHLAS.IS,OK,1522,2020-07-01,2026-07-30,
IHLGM,IHLGM.IS,OK,1522,2020-07-01,2026-07-30,
IMASM,IMASM.IS,OK,1062,2022-04-29,2026-07-30,
INDES,INDES.IS,OK,1522,2020-07-01,2026-07-30,
INVES,INVES.IS,OK,595,2024-03-11,2026-07-30,
IPEKE,IPEKE.IS,MISSING,0,,,YFTzMissingError('$IPEKE.IS: possibly delisted; no timezone found')
ISCTR,ISCTR.IS,OK,1522,2020-07-01,2026-07-30,
ISDMR,ISDMR.IS,OK,1522,2020-07-01,2026-07-30,
ISFIN,ISFIN.IS,OK,1522,2020-07-01,2026-07-30,
ISGYO,ISGYO.IS,OK,1522,2020-07-01,2026-07-30,
ISMEN,ISMEN.IS,OK,1522,2020-07-01,2026-07-30,
IZENR,IZENR.IS,OK,742,2023-08-16,2026-07-30,
IZMDC,IZMDC.IS,OK,1522,2020-07-01,2026-07-30,
JANTS,JANTS.IS,OK,1523,2020-07-01,2026-07-30,
KARSN,KARSN.IS,OK,1522,2020-07-01,2026-07-30,
KARTN,KARTN.IS,OK,1522,2020-07-01,2026-07-30,
KAYSE,KAYSE.IS,OK,802,2023-05-18,2026-07-30,
KCAER,KCAER.IS,OK,1022,2022-06-30,2026-07-30,
KCHOL,KCHOL.IS,OK,1522,2020-07-01,2026-07-30,
KERVT,KERVT.IS,MISSING,0,,,YFTzMissingError('$KERVT.IS: possibly delisted; no timezone found')
KLRHO,KLRHO.IS,OK,587,2024-03-21,2026-07-30,
KLSER,KLSER.IS,OK,752,2023-08-01,2026-07-30,
KMPUR,KMPUR.IS,OK,1062,2022-04-28,2026-07-30,
KONTR,KONTR.IS,OK,1448,2020-10-19,2026-07-30,
KONYA,KONYA.IS,OK,1522,2020-07-01,2026-07-30,
KORDS,KORDS.IS,OK,1522,2020-07-01,2026-07-30,
KOZAA,KOZAA.IS,MISSING,0,,,YFTzMissingError('$KOZAA.IS: possibly delisted; no timezone found')
KOZAL,KOZAL.IS,MISSING,0,,,YFTzMissingError('$KOZAL.IS: possibly delisted; no timezone found')
KRDMD,KRDMD.IS,OK,1522,2020-07-01,2026-07-30,
KRVGD,KRVGD.IS,OK,1415,2020-12-04,2026-07-30,
KTLEV,KTLEV.IS,OK,593,2024-03-21,2026-07-30,
KUTPO,KUTPO.IS,OK,1522,2020-07-01,2026-07-30,
KUYAS,KUYAS.IS,OK,1523,2020-07-01,2026-07-30,
KZBGY,KZBGY.IS,OK,1246,2021-08-12,2026-07-30,
LIDER,LIDER.IS,OK,1081,2022-04-04,2026-07-30,
LMKDC,LMKDC.IS,OK,607,2024-02-22,2026-07-30,
LOGO,LOGO.IS,OK,1522,2020-07-01,2026-07-30,
MAGEN,MAGEN.IS,OK,1190,2021-11-02,2026-07-30,
MAVI,MAVI.IS,OK,1523,2020-07-01,2026-07-30,
MGROS,MGROS.IS,OK,1522,2020-07-01,2026-07-30,
MIATK,MIATK.IS,OK,1175,2021-11-22,2026-07-30,
MPARK,MPARK.IS,OK,1522,2020-07-01,2026-07-30,
NETAS,NETAS.IS,OK,1522,2020-07-01,2026-07-30,
NTHOL,NTHOL.IS,OK,1522,2020-07-01,2026-07-30,
NUGYO,NUGYO.IS,OK,1522,2020-07-01,2026-07-30,
NUHCM,NUHCM.IS,OK,1522,2020-07-01,2026-07-30,
OBAMS,OBAMS.IS,OK,602,2024-03-01,2026-07-30,
