month,signal_date,index_code,ticker,trade_date,open,close,price_source_ticker,price_resolution,has_execution_price
2021-08,2021-08-02,XU100,AEFES,2021-08-02,2.23799991607666,2.24399995803833,AEFES,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,AFYON,2021-08-02,3.7799999713897705,3.849999904632568,AFYON,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,AKBNK,2021-08-02,5.300000190734863,5.300000190734863,AKBNK,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,AKSA,2021-08-02,1.361665964126587,1.3574999570846558,AKSA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,AKSEN,2021-08-02,6.414999961853027,6.460000038146973,AKSEN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ALARK,2021-08-02,9.460000038146973,9.640000343322754,ALARK,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ALBRK,2021-08-02,1.1991469860076904,1.191205978393555,ALBRK,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ALGYO,2021-08-02,0.6520630121231079,0.6539679765701294,ALGYO,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ALKIM,2021-08-02,7.510000228881836,7.599999904632568,ALKIM,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ARCLK,2021-08-02,33.279998779296875,33.119998931884766,ARCLK,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ASELS,2021-08-02,7.78000020980835,8.020000457763672,ASELS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,BERA,2021-08-02,5.550000190734863,5.565000057220459,BERA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,BIMAS,2021-08-02,31.649999618530277,31.549999237060547,BIMAS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,BRISA,2021-08-02,23.540000915527344,23.739999771118164,BRISA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,BRSAN,2021-08-02,25.8799991607666,25.899999618530277,BRSAN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,BRYAT,2021-08-02,297.20001220703125,306.1000061035156,BRYAT,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,CCOLA,2021-08-02,84.8499984741211,86.25,CCOLA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,CEMAS,2021-08-02,1.3700000047683716,1.340000033378601,CEMAS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,CEMTS,2021-08-02,2.756635904312134,2.801064968109131,CEMTS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,CIMSA,2021-08-02,3.417141914367676,3.5,CIMSA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,DEVA,2021-08-02,25.5,26.200000762939453,DEVA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,DOAS,2021-08-02,25.71999931335449,26.15999984741211,DOAS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,DOHOL,2021-08-02,2.640000104904175,2.630000114440918,DOHOL,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ECILC,2021-08-02,5.869999885559082,5.940000057220459,ECILC,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ECZYT,2021-08-02,39.15999984741211,39.720001220703125,ECZYT,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,EGEEN,2021-08-02,1277.4000244140625,1279.5999755859375,EGEEN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,EGGUB,2021-08-02,17.489999771118164,17.43000030517578,EGGUB,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,EKGYO,2021-08-02,1.8200000524520876,1.809999942779541,EKGYO,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ENJSA,2021-08-02,10.229999542236328,10.329999923706056,ENJSA,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ENKAI,2021-08-02,8.60533332824707,8.60533332824707,ENKAI,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ERBOS,2021-08-02,142.0,138.6999969482422,ERBOS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,EREGL,2021-08-02,10.020000457763672,9.850000381469728,EREGL,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ESEN,2021-08-02,1.026108980178833,1.038064956665039,ESEN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,FENER,2021-08-02,36.720001220703125,37.27999877929688,FENER,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,FROTO,2021-08-02,17.309999465942383,17.40999984741211,FROTO,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,GARAN,2021-08-02,8.5600004196167,8.550000190734863,GARAN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,GLYHO,2021-08-02,0.7706909775733948,0.7606819868087769,GLYHO,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,GOZDE,2021-08-02,5.539999961853027,5.559999942779541,GOZDE,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,GSRAY,2021-08-02,2.071374893188477,2.1094319820404053,GSRAY,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,GUBRF,2021-08-02,49.97999954223633,50.54999923706055,GUBRF,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,HALKB,2021-08-02,4.610000133514404,4.619999885559082,HALKB,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,HDFGS,2021-08-02,1.4023009538650513,1.4376100301742554,HDFGS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,HEKTS,2021-08-02,2.305440902709961,2.438884019851685,HEKTS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,IHLAS,2021-08-02,0.5699999928474426,0.5699999928474426,IHLAS,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,IHLGM,2021-08-02,0.9900000095367432,1.0,IHLGM,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,INDES,2021-08-02,1.848745942115784,1.878612995147705,INDES,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,IPEKE,2021-08-02,11.710000038146973,11.68000030517578,TRENJ,BORSA_LINEAGE_YAHOO_ALIAS,True
2021-08,2021-08-02,XU100,ISCTR,2021-08-02,0.952219009399414,0.95761901140213,ISCTR,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ISFIN,2021-08-02,2.900000095367432,3.1700000762939453,ISFIN,DIRECT_YAHOO,True
2021-08,2021-08-02,XU100,ISGYO,2021-08-02,1.870000004768372,1.8799999952316284,ISGYO,DIRECT_YAHOO,True
