ticker,date,kind,value
A1YEN,2026-05-08,SPLIT,10.90909
AAGYO,2026-06-17,DIVIDEND,0.42796
ACSEL,2023-07-31,DIVIDEND,0.15
ACSEL,2024-11-12,DIVIDEND,0.2
ADEL,2023-09-27,DIVIDEND,0.069273
ADEL,2024-09-26,DIVIDEND,0.577209
ADEL,2025-09-26,DIVIDEND,0.5773
ADEL,2024-09-04,SPLIT,11.0
ADESE,2025-10-21,SPLIT,5.0
AEFES,2023-09-18,DIVIDEND,0.10657
AEFES,2024-05-28,DIVIDEND,0.235
AEFES,2025-05-27,DIVIDEND,0.1274
AEFES,2026-05-13,DIVIDEND,0.16975
AEFES,2025-06-26,SPLIT,10.0
AFYON,2023-06-01,DIVIDEND,0.2
AFYON,2024-06-03,DIVIDEND,0.4
AFYON,2025-04-08,DIVIDEND,1.0
AFYON,2026-04-01,DIVIDEND,1.5
AGHOL,2024-05-29,DIVIDEND,0.287434
AGHOL,2025-05-28,DIVIDEND,0.513274
AGHOL,2026-05-20,DIVIDEND,0.698053
AGHOL,2025-08-06,SPLIT,10.0
AGROT,2026-01-07,SPLIT,2.0
AGYO,2024-10-30,DIVIDEND,0.1
AHGAZ,2024-07-24,DIVIDEND,0.019231
AHGAZ,2026-08-24,DIVIDEND,0.057692
AHGAZ,2023-06-06,SPLIT,12.5
AHSGY,2026-06-24,DIVIDEND,0.07623
AHSGY,2025-12-01,SPLIT,3.7
AKCNS,2024-04-15,DIVIDEND,6.006882
AKCNS,2025-03-24,DIVIDEND,6.268051
AKCNS,2026-06-01,DIVIDEND,1.880415
AKFGY,2026-09-15,DIVIDEND,0.013676
AKFIS,2026-08-18,SPLIT,6.0
AKFYE,2026-09-21,SPLIT,6.0
AKMGY,2024-04-17,DIVIDEND,7.77
AKMGY,2025-04-09,DIVIDEND,12.64
AKMGY,2025-08-18,DIVIDEND,2.4
AKMGY,2026-04-15,DIVIDEND,12.36
AKMGY,2026-08-11,DIVIDEND,3.7
AKSA,2024-04-03,DIVIDEND,0.416667
AKSA,2025-05-21,DIVIDEND,0.48
AKSA,2026-04-03,DIVIDEND,0.58
AKSA,2024-07-24,SPLIT,12.0
AKSEN,2024-06-06,DIVIDEND,1.304697
AKSGY,2024-05-08,DIVIDEND,0.024845
AKSGY,2025-05-05,DIVIDEND,0.124224
AKSGY,2026-04-20,DIVIDEND,0.455487
AKSGY,2024-10-16,SPLIT,3.0
ALARK,2023-06-01,DIVIDEND,0.7
ALARK,2023-08-25,DIVIDEND,0.35
ALARK,2023-11-15,DIVIDEND,0.23
ALARK,2024-05-30,DIVIDEND,0.9686
ALARK,2025-04-17,DIVIDEND,2.6
ALARK,2026-05-04,DIVIDEND,3.185
ALCAR,2025-04-10,DIVIDEND,63.2175
ALFAS,2024-08-14,DIVIDEND,0.815217
ALFAS,2025-09-30,DIVIDEND,0.163043
ALFAS,2023-08-29,SPLIT,8.0
ALGYO,2024-06-03,DIVIDEND,0.003571
ALGYO,2026-05-12,DIVIDEND,0.05
ALGYO,2023-06-15,SPLIT,2.25
ALGYO,2024-09-13,SPLIT,2.0
ALGYO,2026-01-15,SPLIT,7.0
ALKA,2024-12-09,SPLIT,4.0
ALKIM,2024-12-09,SPLIT,2.0
ALKLC,2024-12-20,DIVIDEND,0.088998
ALKLC,2025-07-22,DIVIDEND,0.008152
ALKLC,2025-09-22,DIVIDEND,0.008152
ALKLC,2025-10-22,DIVIDEND,0.008152
ALKLC,2025-12-22,DIVIDEND,0.008152
ALTNY,2025-12-26,SPLIT,4.25
ALVES,2026-01-20,SPLIT,10.0
ARASE,2023-07-17,DIVIDEND,0.338289
ARASE,2024-09-23,DIVIDEND,0.913671
ARASE,2025-08-18,DIVIDEND,2.2
ARASE,2026-06-24,DIVIDEND,2.0
ARASE,2023-07-03,SPLIT,3.731343
ARCLK,2023-09-25,DIVIDEND,2.663793
ARDYZ,2023-12-25,DIVIDEND,0.015294
ARDYZ,2024-07-03,DIVIDEND,0.022412
ARDYZ,2025-11-17,DIVIDEND,0.032448
ARSAN,2025-08-25,SPLIT,8.6182666
ARZUM,2023-07-26,DIVIDEND,0.030507
ARZUM,2025-02-26,SPLIT,9.3138776
ASELS,2023-11-22,DIVIDEND,0.087719
ASELS,2024-11-25,DIVIDEND,0.111842
ASELS,2025-11-25,DIVIDEND,0.234649
ASELS,2023-08-25,SPLIT,2.0
ASGYO,2024-07-03,DIVIDEND,0.2
ASGYO,2026-04-01,DIVIDEND,0.168319
ASTOR,2024-07-31,DIVIDEND,1.320483
ASTOR,2025-08-18,DIVIDEND,1.512088
ASUZU,2024-05-29,DIVIDEND,1.984127
ASUZU,2025-05-26,DIVIDEND,1.984127
ASUZU,2026-05-12,DIVIDEND,2.380952
ASUZU,2024-01-15,SPLIT,3.0
ATAKP,2024-07-08,DIVIDEND,0.879165
ATAKP,2025-06-25,DIVIDEND,0.55
ATAKP,2026-06-04,DIVIDEND,0.7
ATATP,2023-06-14,DIVIDEND,0.299483
ATATP,2024-12-18,DIVIDEND,0.316714
ATATP,2025-06-20,DIVIDEND,0.699205
ATATP,2026-06-10,DIVIDEND,1.0
AVPGY,2024-04-17,DIVIDEND,0.7
AVPGY,2024-05-29,DIVIDEND,0.7
AVPGY,2024-07-22,DIVIDEND,0.7
AVPGY,2025-04-25,DIVIDEND,1.5
AVPGY,2025-07-09,DIVIDEND,1.5
AVPGY,2025-10-14,DIVIDEND,1.9375
AVPGY,2026-05-20,DIVIDEND,2.5
AVPGY,2026-06-05,DIVIDEND,2.5
AYDEM,2024-07-30,DIVIDEND,0.545756
AYEN,2024-07-01,DIVIDEND,0.613554
AYEN,2024-07-31,DIVIDEND,0.613554
AYEN,2024-08-29,DIVIDEND,0.613554
AYEN,2024-09-30,DIVIDEND,0.613554
AYEN,2024-10-31,DIVIDEND,0.613554
AYEN,2024-11-29,DIVIDEND,0.613554
AYEN,2025-04-21,DIVIDEND,0.249284
AYEN,2025-05-21,DIVIDEND,0.249284
AYEN,2025-06-23,DIVIDEND,0.249284
AYEN,2025-07-21,DIVIDEND,0.249284
AYEN,2025-08-21,DIVIDEND,0.249284
AYEN,2025-09-22,DIVIDEND,0.249284
AYEN,2026-04-21,DIVIDEND,0.781033
AYES,2023-06-01,DIVIDEND,0.048981
AYES,2024-09-02,DIVIDEND,0.060113
AYES,2025-07-07,DIVIDEND,0.088235
AYES,2026-06-01,DIVIDEND,0.352941
AYES,2024-09-24,SPLIT,4.9906177000000005
AYGAZ,2024-04-04,DIVIDEND,6.85
AYGAZ,2025-04-02,DIVIDEND,12.55
AYGAZ,2026-03-16,DIVIDEND,12.55
AZTEK,2023-07-31,DIVIDEND,0.105772
AZTEK,2024-05-07,DIVIDEND,0.250369
AZTEK,2025-05-28,DIVIDEND,0.135869
AZTEK,2025-12-01,SPLIT,10.0
BAGFS,2023-07-10,DIVIDEND,0.12994
BAKAB,2024-02-07,SPLIT,2.0
BALSU,2025-11-14,DIVIDEND,0.176259
BASGZ,2023-10-11,DIVIDEND,0.45
BASGZ,2024-06-12,DIVIDEND,2.2
BASGZ,2024-10-16,DIVIDEND,0.8
BASGZ,2025-07-18,DIVIDEND,2.0
BASGZ,2026-06-18,DIVIDEND,2.0
BAYRK,2025-12-30,SPLIT,4.4275063999999995
BEGYO,2025-10-13,DIVIDEND,0.021472
BEGYO,2025-12-15,DIVIDEND,0.021472
BEGYO,2026-02-16,DIVIDEND,0.021472
BEGYO,2026-04-15,DIVIDEND,0.021472
BEGYO,2026-08-20,DIVIDEND,0.030675
BERA,2023-09-18,DIVIDEND,0.05
BEYAZ,2024-04-22,DIVIDEND,0.110345
BEYAZ,2025-05-21,DIVIDEND,0.110345
BEYAZ,2026-05-13,DIVIDEND,0.30094
BFREN,2023-09-26,DIVIDEND,0.498191
BFREN,2024-02-26,SPLIT,12.2547
BIGCH,2024-05-31,DIVIDEND,0.12757
BIGCH,2025-07-31,DIVIDEND,0.145794
BIGCH,2026-09-18,DIVIDEND,0.1
BIGCH,2026-02-11,SPLIT,5.0
BIMAS,2023-06-14,DIVIDEND,1.0
BIMAS,2023-12-20,DIVIDEND,1.5
BIMAS,2024-07-17,DIVIDEND,1.0
BIMAS,2024-10-02,DIVIDEND,2.0
BIMAS,2024-12-18,DIVIDEND,2.0
BIMAS,2025-06-18,DIVIDEND,2.0
BIMAS,2025-09-17,DIVIDEND,2.0
BIMAS,2025-12-17,DIVIDEND,2.5
BIMAS,2026-06-17,DIVIDEND,2.0
BIMAS,2026-09-16,DIVIDEND,2.5
BIMAS,2026-05-14,SPLIT,2.0
BINHO,2025-09-04,SPLIT,27.45
BIZIM,2023-10-09,DIVIDEND,0.833333
BLCYT,2026-09-01,SPLIT,10.0
BMSCH,2025-03-26,SPLIT,2.7712344
BMSTL,2023-10-23,SPLIT,2.0
BMSTL,2024-11-26,SPLIT,2.053388
BMSTL,2026-07-01,SPLIT,2.0
BOBET,2024-05-07,DIVIDEND,0.75
BOBET,2024-08-07,DIVIDEND,0.375
BOBET,2024-10-07,DIVIDEND,0.375
BOBET,2025-07-08,DIVIDEND,0.2
BOBET,2026-08-05,DIVIDEND,0.4
BORLS,2024-08-20,DIVIDEND,0.004718
BORLS,2025-07-18,SPLIT,4.1493774000000005
BORSK,2024-12-06,DIVIDEND,0.111458
BORSK,2025-11-25,DIVIDEND,0.208333
BORSK,2025-12-10,SPLIT,4.0
BOSSA,2023-06-26,SPLIT,1.8258426
BOSSA,2024-09-11,SPLIT,2.0
BRISA,2024-04-24,DIVIDEND,3.394
BRISA,2025-03-28,DIVIDEND,2.1296
BRKSN,2023-06-20,DIVIDEND,0.017806
BRKSN,2023-09-19,DIVIDEND,0.019231
BRKSN,2024-07-25,DIVIDEND,0.027778
BRKSN,2024-10-22,DIVIDEND,0.027778
BRKSN,2026-07-03,DIVIDEND,0.058824
BRKSN,2026-09-04,DIVIDEND,0.058824
BRKSN,2025-05-22,SPLIT,3.0
BRLSM,2023-06-13,DIVIDEND,0.116193
BRYAT,2024-04-18,DIVIDEND,46.1987
BRYAT,2025-04-24,DIVIDEND,58.566593
BRYAT,2026-04-08,DIVIDEND,166.14581
BTCIM,2025-01-14,SPLIT,31.0
BUCIM,2023-12-27,DIVIDEND,0.05
BUCIM,2024-09-30,DIVIDEND,0.066667
BUCIM,2025-06-18,DIVIDEND,0.066667
BURCE,2024-07-09,DIVIDEND,0.163224
BURCE,2024-11-28,SPLIT,10.0
BVSAN,2024-10-21,DIVIDEND,0.768032
BVSAN,2025-12-02,DIVIDEND,0.960597
BYDNR,2025-05-14,DIVIDEND,0.713012
CANTE,2024-06-26,SPLIT,7.4617566
CCOLA,2024-05-27,DIVIDEND,0.714782
CCOLA,2025-05-26,DIVIDEND,1.0722
CCOLA,2026-05-12,DIVIDEND,1.43
CCOLA,2024-08-13,SPLIT,11.0
CEMTS,2024-04-29,DIVIDEND,0.15
CEMTS,2025-05-28,DIVIDEND,0.22
CEMTS,2026-06-24,DIVIDEND,0.3
CEMZY,2026-04-28,SPLIT,5.721393000000001
CIMSA,2024-04-29,DIVIDEND,1.05754
CIMSA,2025-04-02,DIVIDEND,0.634524
CIMSA,2026-04-01,DIVIDEND,0.740278
CIMSA,2023-09-29,SPLIT,7.0
CLEBI,2024-04-24,DIVIDEND,63.0
CLEBI,2025-04-24,DIVIDEND,147.5
CLEBI,2026-04-24,DIVIDEND,103.0
CMENT,2024-12-26,DIVIDEND,8.179082
CVKMD,2025-02-06,SPLIT,33.3333
CWENE,2024-08-29,DIVIDEND,0.087953
CWENE,2024-12-04,SPLIT,8.080808
CWENE,2025-11-06,SPLIT,1.07829
DAGI,2025-02-19,SPLIT,3.0792917
DAPGM,2023-06-21,SPLIT,1.925
DAPGM,2024-08-06,SPLIT,6.4071686
DCTTR,2024-10-31,DIVIDEND,0.003787
DCTTR,2024-11-29,DIVIDEND,0.003787
DCTTR,2024-12-31,DIVIDEND,0.003787
DCTTR,2025-12-23,SPLIT,3.0
DERHL,2026-08-10,SPLIT,5.0140533
DESA,2025-09-25,DIVIDEND,0.072029
DESA,2025-10-30,DIVIDEND,0.084034
DESA,2025-11-27,DIVIDEND,0.084034
DESA,2023-06-20,SPLIT,4.977452
