ticker,m3,ek4,ek9
A1YEN,0.1316993756863994,0.33998293830793014,0.6746533693477696
ACSEL,0.0,0.3300779389392698,
ADEL,0.2473286683788671,0.35056331016387066,
ADESE,0.21217035013640545,0.4842724040669234,0.6977331230971875
AEFES,0.3185623287953121,0.4792787210956632,0.6508204854522364
AFYON,0.37697519301214355,0.48667626019988125,0.7240037279413429
AGROT,0.0,0.04629521667235861,0.44865360877676863
AHGAZ,1.0,1.0,
AKCNS,0.2674432537188115,0.154797569064601,0.5145374631460315
AKENR,0.10346754776545328,0.45567157111907186,
AKFIS,1.0,0.34939090769716447,0.2617886678332111
AKFYE,0.44527937978335763,0.607990438954322,0.35842214643221626
AKHAN,0.33988322464085596,0.005853614012443081,0.39459438720325946
AKSA,0.15376186171284117,0.3852451309145034,0.6083059856751811
AKSEN,0.4449136783944105,0.2627643011710416,0.40061668609522905
AKSUE,0.0,0.0,
ALBTN,,0.7256430140925425,
ALCAR,0.33685538099939044,0.466784386067338,
ALCTL,0.0,0.49013045280335993,
ALFAS,0.0,0.36696193155490703,0.5935204909843347
ALKA,0.0,0.42727505476639377,
ALKIM,0.0017843993264101549,0.4191620041433945,
ALKLC,1.0,1.0,0.6974638847886667
ALTNY,0.7584832081838816,1.0,0.39909210134824524
ANELE,1.0,0.6437461204898657,
ANGEN,0.03886815042852758,0.43012451581354677,
ARASE,0.5956028704130909,0.45202543174923016,0.5654737577123368
ARCLK,0.2200453655373956,0.44917676802450357,
ARDYZ,1.0,0.4792192637264257,
ARENA,0.0,0.6967545672475346,
ARFYE,0.0,0.20738952159837912,0.44832383004935195
ARMGD,0.804370773706029,0.13723086787414976,0.304549601082587
ARTMS,0.6871956669332197,0.9272918969350864,0.4798333833717062
ARZUM,0.0,0.10086623324661328,
ASELS,0.6799190994126072,0.8766153231591798,0.5021989718266793
ASTOR,0.2092753737995344,0.12251633574475465,
ASUZU,0.0,0.5160119947150528,
ATAKP,0.0,0.12975375185870927,0.702808140188944
ATATP,1.0,0.7182684221935388,0.2766686910272874
ATATR,0.05020126273648361,0.13025847015731493,0.42818032319511956
AVOD,0.29284750871537024,0.4680933887444839,
AVTUR,0.0,0.40931281787474,
AYCES,0.09502646651421594,0.5934523621835411,
AYDEM,0.6362065044676888,0.44165180960529554,
AYEN,0.0,0.41668144866811985,0.5156100443039319
AYGAZ,1.0,0.6297187494451674,0.5438487453953209
AZTEK,0.0,0.5091070014989671,
BAGFS,0.6030671055757747,0.4807522420970554,
BAHKM,1.0,1.0,0.2658976917853759
BAKAB,0.0,0.0,
BALSU,0.0,0.0,0.04766406909203191
BANVT,0.26420936858290794,0.3471242018485361,
BAYRK,0.0,0.03269283271872661,
BESLR,0.18673469580075472,0.40110527256055417,
BESTE,0.0,0.16970459421927944,0.3421358302245432
BETAE,,0.0,
BEYAZ,0.32247364307184173,0.665306881864399,
BFREN,0.18990759392317758,0.392043780975979,0.7835162014469731
BIENY,0.07582242677959851,0.28555109105860493,
BIGCH,0.02390557811091286,0.20503083554401155,0.4563220790460585
BIGEN,1.0,1.0,0.0
BIGTK,1.0,0.32799818620304966,
BIMAS,0.8739042601081067,0.6368374520398493,
BINBN,0.49462156802715207,0.793653731850303,0.5605824328969518
BIOEN,0.5974898729779856,0.7325301296316487,
BIZIM,0.3402533281271006,0.6847034658359955,
BJKAS,1.0,1.0,
BLCYT,0.0,0.5243915696036467,0.4347224897486702
BLUME,0.8079215677368157,0.28456034028820587,
BMSCH,0.0,0.2594099039104165,
BMSTL,0.5928094692334942,0.6887821481249408,
BNTAS,0.2670128296490671,0.43131379204608616,0.6603861665818407
BOBET,1.0,0.8604041251243079,
BORLS,0.0,0.0,0.1897132383668496
BORSK,0.5221172786205636,0.412539241938744,0.6231254681804085
BOSSA,0.5964535415692331,0.48030776828410154,0.5943670403417781
BRISA,0.11141533535765392,0.40180936828259445,
BRKSN,0.3709024385290964,0.3884110385982027,0.7510793709394108
BRLSM,0.15118863451635295,0.6829472218564206,0.19939910758184187
BRSAN,0.5651198755732587,0.5541300091314689,0.46537781753116947
BSOKE,0.0,0.0,
BTCIM,0.0,0.0,
BUCIM,0.3104720621844831,0.7628257189435945,0.7029959087388524
BURCE,0.0,0.16138858347503074,
BURVA,0.0,0.0,
BVSAN,0.33158191817274374,0.7462894994658343,
BYDNR,0.10756050416297298,0.15511475284359075,
CANTE,0.2829934226883892,0.7163125776715071,
CATES,1.0,0.9108761039616828,0.4702295326994721
CCOLA,0.4007748042698568,0.36970205903994785,0.5987819144302884
CELHA,1.0,0.7102783731178309,
CEMAS,0.1779243746848056,0.5236952611723507,
CEMTS,0.14840683984866612,0.3947147572414454,
CEMZY,0.26023839849345637,0.640677334829315,0.3275930833317444
CEOEM,1.0,1.0,
CGCAM,0.0,0.06306292289299895,0.5562061242833696
CIMSA,0.15459247245489235,0.3762022823485965,0.7009242610949002
CITAS,,1.0,
CLEBI,0.23238732411404536,0.37867611052204386,
CMBTN,0.581761337941855,0.5053081255654475,
CONSE,0.083509815154168,0.5035151676435005,0.6965054927917764
CRFSA,1.0,0.31933989010612157,
CUSAN,0.384487762483764,0.41681576686306326,
CVKMD,0.0,0.18753743387305968,0.0
CWENE,0.0,0.007476722297361099,0.29861593558511756
DAGI,0.9806500880338592,0.23616285861206412,
DAPGM,0.0,0.4219645304216453,0.5274146850535157
DARDL,0.0,0.2161433785266277,
DCTTR,0.0,0.07252575573740636,0.3490949473383612
DERIM,0.07728956708036326,0.33862503802031885,0.5982826667119983
DESA,0.0,0.283364231653425,0.5096683539953384
