ticker,trade_date,raw_close,shares_out,legal_shares_out,normalized_shares_out,quoted_nominal_units_out,total_nominal_value_try,market_cap,price_basis,price_quote_unit_basis,share_basis,action_evidence_sha256
ACSEL,2026-09-08,113.8000030517578,10721700.0,10721700,10721700.0,10721700.0,10721700,1220129492.7200315,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,b49e13c5a287fab52d0df689b5053d618199da717a2ade06418efd9706a8150a
ADEL,2026-09-08,33.119998931884766,259875000.0,259875000,259875000.0,259875000.0,259875000,8607059722.423553,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,7f4acf4a49b2a53c04ba4d9a26a9502e75a568c2e881ae443cda06a6f5734f9f
ADESE,2026-09-08,0.8700000047683716,5040000000.0,5040000000,5040000000.0,5040000000.0,5040000000,4384800024.032593,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,43fc4e9f835f7484b622d0d2c845b9a9fc522a968a137c9ea644de0b920801e9
AEFES,2026-09-08,19.26000022888184,5921052630.0,5921052630,5921052630.0,5921052630.0,5921052630,114039475009.02142,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,3a46cf0260b33976ea5b791b964a1990d6ae8cf0cf46f77d3c94e6c43f567b95
AFYON,2026-09-08,12.640000343322754,400000000.0,40000000000,400000000.0,400000000.0,400000000,5056000137.329102,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,a91ece85a8d2b629c0e128ba4f569c8054898784796d105a1e7b079436d8c5b2
AGYO,2026-09-08,7.440000057220459,263340000.0,2,263340000.0,263340000.0,263340000,1959249615.0684357,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,a3ec609feab02426a53eebb6b52f5d5dc0cfb09e4b765bb8ff783de4ba7264a1
AKBNK,2026-09-08,74.94999694824219,5200000000.0,520000000000,5200000000.0,5200000000.0,5200000000,389739984130.8594,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,94c0a849aa20d652095a786c36871380b04cae949a436398a7c83fda0ddfce23
AKCNS,2026-09-08,249.5,191447068.25,19144706825,191447068.25,191447068.25,191447068.25,47766043528.375,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,fb75662c4f2c6d2bf4c1248f1f58a9f5e944f742403ec96e4e9385a8d82c07a5
AKENR,2026-09-08,10.479999542236328,729164000.0,72916400000,729164000.0,729164000.0,729164000,7641638386.21521,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,1b01739da79f2009c4b88e6e759175144743738359d9358b03375a0cfb769353
AKMGY,2026-09-08,252.0,37264000.0,4,37264000.0,37264000.0,37264000,9390528000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,6af2925e7658479d08cba954a0d52d2addb2f382453d75b348170a4dcc2be30f
AKSA,2026-09-08,11.550000190734863,3885000000.0,388500000000,3885000000.0,3885000000.0,3885000000,44871750741.004944,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,41018c8ee3c0fe1a9181ea88769b6380e051e6899773a1e0f04be83e24758ad3
AKSEN,2026-09-08,80.4000015258789,1226338236.0,1226338236,1226338236.0,1226338236.0,1226338236,98597596045.64365,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,03a790d1a08c23dbee12b033c513b57c4a9b58c3110698a9b2d96f0a17183427
AKSGY,2026-09-08,9.869999885559082,2415000000.0,2415000000,2415000000.0,2415000000.0,2415000000.000,23836049723.625183,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,260c2a1e7bc0546a090e24ff8b9be1dfcbdfc9275d5633f05782fa3654e194b1
AKSUE,2026-09-08,31.0,66000000.0,2,66000000.0,66000000.0,66000000.00,2046000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,4f51c9720e73e16a0670a982d90e2d7621a8d2671b1ee086eef9ded7f2cf0fd8
ALARK,2026-09-08,115.0,417000000.0,41700000000,417000000.0,417000000.0,417000000,47955000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,159896eaf182fda902f1e0109dec898d27163cd436b624dfea092f17946874ea
ALCAR,2026-09-08,688.0,10800000.0,1080000000,10800000.0,10800000.0,10800000,7430400000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,c607c5f6af1bd5291bb7334d5d887db63d1d2d442c2a65849b33df957d786b55
ALCTL,2026-09-08,115.8000030517578,38700772.0,3870077200,38700772.0,38700772.0,38700772,4481549515.705382,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,dfceb44fd68b184cd80491c8583bdda3dea79afe69d726226267ea23dd5ae6d4
ALGYO,2026-09-08,3.670000076293945,2028600000.0,202860000000,2028600000.0,2028600000.0,2028600000,7444962154.7698965,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,e8e21fa6f19653a83f035171af815c75e1cc93bcd416983f011301188bf892f7
ALKA,2026-09-08,8.350000381469727,735000000.0,73500000000,735000000.0,735000000.0,735000000,6137250280.380249,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,2558c7737fda36c929877dc347807d113276455ce8e95cf8ccef2fc64abafc2f
ALKIM,2026-09-08,16.350000381469727,300000000.0,30000000000,300000000.0,300000000.0,300000000.00,4905000114.440918,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,cdee8da1b28bd5ffaa4725967904fef9a9e34172fdd3e0fecb9e9b0e15da287b
ANELE,2026-09-08,218.6000061035156,265000000.0,265000000,265000000.0,265000000.0,265000000.000,57929001617.43163,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,43b253def1fcaeb0b1e5254671e511e30774fc947d7192a7ab47586074865d56
ANHYT,2026-09-08,106.1999969482422,430000000.0,43000000000,430000000.0,430000000.0,430000000,45665998687.74415,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,b65b361eea38a26db3669825f929f235df72779839e358f4d75fda6f534dd82c
ANSGR,2026-09-08,26.520000457763672,2000000000.0,200000000000,2000000000.0,2000000000.0,2000000000,53040000915.52734,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,73777b66b867b4a4289841440679cc14558438e17c23b135a5c397bea457b167
ARCLK,2026-09-08,95.0,675728205.0,67572820500,675728205.0,675728205.0,675728205,64194179475.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,4b5aa1f676623d673f07decf4e20fa36b611577ae405a5d244d17a42245f8041
ARENA,2026-09-08,20.280000686645508,100000000.0,10000000000,100000000.0,100000000.0,100000000,2028000068.6645508,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,85b85d83fccad221b040ccd560290763b5531859c17f74e302e8734142761c2c
ARSAN,2026-09-08,3.920000076293945,1762000000.0,1762000000,1762000000.0,1762000000.0,1762000000,6907040134.429931,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,9e21fd00b986d37a00c0e7c60306784b945ec256aa7b8f106dabb6f8ab57d89f
ARZUM,2026-09-08,1.559999942779541,600000000.0,600000000,600000000.0,600000000.0,600000000,935999965.6677246,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,0d8527d4ae255852f7b63a57a8c59b7ddc87c004508df5ca48fca01809aa9a41
ASELS,2026-09-08,390.0,4560000000.0,4560000000,4560000000.0,4560000000.0,4560000000.000,1778400000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,a9c1175ec0d8a6ef5e385d190a077ab18743c887414796af8792b3dba06ddba5
ASUZU,2026-09-08,48.79999923706055,252000000.0,25200000000,252000000.0,252000000.0,252000000.000,12297599807.739258,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,141f1927e95cc54f3867ebb6cb520dd8547a34285c0f831aec36a7635a04cfc2
ATEKS,2026-09-08,99.1500015258789,25200000.0,3,25200000.0,25200000.0,25200000,2498580038.4521484,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,602779fb90fad8e0de9cb95fda847b79937a8e7ea1936931f578c4d1f4952122
ATLAS,2026-09-08,6.21999979019165,60000000.0,6000000000,60000000.0,60000000.0,60000000.000,373199987.411499,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,21f5fc226d398f43b2d8ade41f2c32ef78fea80fe58468607670f766ba813491
ATSYH,2026-09-08,130.0,8000000.0,800000000,8000000.0,8000000.0,8000000,1040000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,054b7b16822f72c18d2a8bba28a1ade66b6061207c6ea11b12d3b8f07a76bc3a
AVGYO,2026-09-08,18.1299991607666,111600000.0,11160000000,111600000.0,111600000.0,111600000,2023307906.3415527,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,37c4824ed642630c9895e6ec0378aacf90e93b37c88a06b0eb97a643552b9fea
AVHOL,2026-09-08,34.18000030517578,37250000.0,3725000000,37250000.0,37250000.0,37250000,1273205011.3677979,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,3cad2e8dc7b186e53b163d4d6bcd177ab839ba2188f291b084589e88cb267854
AVOD,2026-09-08,4.5,270000000.0,27000000000,270000000.0,270000000.0,270000000.000,1215000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,ee5ace3b4b7760f0e9f6eb51d18db06a6a13ac73ad84622e8433a79b3ce63d39
AVTUR,2026-09-08,12.920000076293944,45000000.0,4500000000,45000000.0,45000000.0,45000000,581400003.4332274,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,cd59d44b79bc5a94f3cdcfe83c48cd9f1523b54ddeaac68d12ebdbf6552cbfb3
AYCES,2026-09-08,442.75,25000000.0,2500000000,25000000.0,25000000.0,25000000.000,11068750000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,68ee812e5d9cd84f168c2f10a2741430798f9387a4d3661112330b982696cf55
AYEN,2026-09-08,30.700000762939453,277500000.0,27750000000,277500000.0,277500000.0,277500000.00,8519250211.715698,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,a46f3bd466c156943a76f98ab02e2515d142d207d0fdbd062bf60db6c98659cd
AYES,2026-09-08,29.979999542236328,150000000.0,150000000,150000000.0,150000000.0,150000000,4496999931.335449,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,99a1f9ed2ea642035940ffc88e26cd1d99d36e8caedb74b680e3687839d398cb
AYGAZ,2026-09-08,324.25,219800767.0,21980076700,219800767.0,219800767.0,219800767,71270398699.75,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,8da0b27084a8f9b78a7bd2c903890e68b26bb48026feac4de76b845acda1c58a
BAGFS,2026-09-08,28.459999084472656,135000000.0,13500000000,135000000.0,135000000.0,135000000,3842099876.4038086,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,6a93c5521c1af46f833be2b78a99b969e45659d724be8e059ec2269a85eb4b23
BAKAB,2026-09-08,38.459999084472656,72000000.0,7200000000,72000000.0,72000000.0,72000000,2769119934.0820312,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,4f10cec1b684befc7e3a1c583af77636e48875258d04d3f7be1809295b4e326a
BANVT,2026-09-08,151.3000030517578,100023579.0,100023579,100023579.0,100023579.0,100023579,15133567807.947739,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,2004db75d88a4f5300acd87e51db73d729618673094360c60bd7d8a68d29467b
BASGZ,2026-09-08,45.040000915527344,700000000.0,700000000,700000000.0,700000000.0,700000000,31528000640.86914,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,893985940d6388f34ce09a1f47c61d9f8d9e1b1e99fbf7d39d96dbdd8c7833ef
BEYAZ,2026-09-08,22.34000015258789,99687500.0,99687500,99687500.0,99687500.0,99687500,2227018765.2111053,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,b80153be80a31f92126462186f2d55e10504c124d05f2b8005fdb14f825f9fd8
BFREN,2026-09-08,128.3000030517578,122522806.0,12252280600,122522806.0,122522806.0,122522806.000,15719676383.70993,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,c4c2155bbdec7155ac364600cd7dd75ea0f1e6460549ebad8cfd5a1bc07033ce
BIMAS,2026-09-08,420.5,600000000.0,600000000,600000000.0,600000000.0,600000000,252300000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,c485de669062a7aeb2f2d41ee02b16341c5cb8bea2b3e8f3b9f27939f14b45d7
BIZIM,2026-09-08,25.07999992370605,80476074.0,80476074,80476074.0,80476074.0,80476074,2018339929.7801626,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,82661d74da046f07dbd17540c6814e95bbfde2c748d4fd5982ee00005657f1c8
BJKAS,2026-09-08,2.2799999713897705,4364569202.0,4364569202,4364569202.0,4364569202.0,4364569202,9951217655.688673,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,82da0556d6d3b3aae3677a9405de39c84a5f7b8327cb438584ae71ad04304991
BLCYT,2026-09-08,2.25,100000000.0,100000000,100000000.0,100000000.0,100000000,225000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,a33503f123eb82beb053d6b8398197e13716ab7af4eb36499f7f73dd0f7f12f1
BNTAS,2026-09-08,6.449999809265137,241875000.0,2,241875000.0,241875000.0,241875000,1560093703.866005,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,182b49460361abdde179be053b99003926bd44f48ad54ba9e2f53a631f2f0fb7
BOSSA,2026-09-08,6.579999923706055,1300000000.0,130000000000,1300000000.0,1300000000.0,1300000000,8553999900.817871,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,b2e7ec1b06a39e58bb9d6c4ac3579598ae8ad3ddfdba36d4f59efc16c74b8119
BRKO,2026-09-08,12.0,140000000.0,14000000000,140000000.0,140000000.0,140000000,1680000000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,6bd60c5da53b22a86f2d99f244b98f77a60a60c160f4807a5f2011a3cbc2b461
BRKSN,2026-09-08,7.699999809265137,93600000.0,93600000,93600000.0,93600000.0,93600000,720719982.1472168,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,8431e57bd09e956bb34f38360912df3fad4528ad4178d6d7844612e182b1704b
BRMEN,2026-09-08,12.079999923706056,89254042.64,8925404264,89254042.64,89254042.64,89254042.64,1078188828.2816572,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,019edc3c77987acb3d8d81253a902cc17552e374ce5600ce51bbf080418b0899
BRSAN,2026-09-08,728.5,141771582.28,14177158228,141771582.28,141771582.28,141771582.28,103280597690.98,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,9d4eee57d0c0f84e91397e9dfb6585adaea43c6fd6be68f36ed1157fb19d9d47
BRYAT,2026-09-08,1709.0,28125000.0,2812500000,28125000.0,28125000.0,28125000,48065625000.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,4941e5abe67a45ca73d7c708989ab87e1c6c144880bab39deca2bd4b6a9725e1
BSOKE,2026-09-08,21.34000015258789,1600000000.0,160000000000,1600000000.0,1600000000.0,1600000000.00,34144000244.140625,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,6dc3f4a00aa117525c6797f014eb1df2d42028ae1c5424537eb7f4109f6a9d03
BTCIM,2026-09-08,3.7200000286102295,5580000000.0,558000000000,5580000000.0,5580000000.0,5580000000,20757600159.64508,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,ddd7bc9cd1c926f7a140660ce6f0f53640c50925ed62ecd3e530e904c50025cf
BUCIM,2026-09-08,5.760000228881836,1500000000.0,150000000000,1500000000.0,1500000000.0,1500000000,8640000343.322754,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,733b21ed5cf876897a30a4f77098feb9b236730f6617d1384136955dea4da9ed
BURCE,2026-09-08,33.400001525878906,84240000.0,8424000000,84240000.0,84240000.0,84240000,2813616128.540039,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,15a8f9c735f370f21e1a876a1f6f52df183a088d143ddb54ec53a0fcaa1a0a68
BURVA,2026-09-08,666.0,7347672.0,7347672,7347672.0,7347672.0,7347672,4893549552.0,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,26555fb2a87d36b9c359715cfff3e402c4e49004888cdd9ea367c20d0edfdfc4
CASA,2026-09-08,69.5999984741211,4900000.0,4900000,4900000.0,4900000.0,4900000,341039992.52319336,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,bbed63c442e8407f2958a604cfac70ed81445bf9a314f2a75bed4d5a660acdd0
CCOLA,2026-09-08,81.69999694824219,2798078602.0,279807860200,2798078602.0,2798078602.0,2798078602.000,228603013244.34177,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,cf9c6f56b62c4656fe45ad0188092c8ee5e482710ced733d9f54877c8b16c8e8
CELHA,2026-09-08,25.940000534057617,385499653.0,385499653,385499653.0,385499653.0,385499653,9999861204.699026,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,d8764fd10165e3556e6d4ef8275d1fcec7163fa97682e3364ba9ae291a2410eb
CEMAS,2026-09-08,4.329999923706055,791000000.0,791000000,791000000.0,791000000.0,791000000,3425029939.6514893,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,0cada9decb92d3730ece9d496b98ba8a2546bedd30435f1c98b7ca7df200897e
CEMTS,2026-09-08,8.920000076293945,500000000.0,50000000000,500000000.0,500000000.0,500000000,4460000038.146973,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,d825f5d9b0ae97a54b2d7e953483057346db6f35ff21f4ab524b74ea90968e63
CIMSA,2026-09-08,45.93999862670898,945591094.0,94559109400,945591094.0,945591094.0,945591094,43440453559.78824,POINT_IN_TIME_MARKET_CLOSE_V1,BORSA_CLOSE_PER_1_TRY_NOMINAL_V1,POINT_IN_TIME_MARKET_CLOSE_SHARES_V1,50ed7307988f6e57641cf4d7cf5ea129be29163664612fd5d83e018ef77d3ace
