date,ticker,kind,value
2026-05-13,AEFES,DIVIDEND,0.16975
2026-04-01,AFYON,DIVIDEND,1.5
2026-05-20,AGHOL,DIVIDEND,0.698053
2026-08-24,AHGAZ,DIVIDEND,0.057692
2026-04-15,AKMGY,DIVIDEND,12.36
2026-08-11,AKMGY,DIVIDEND,3.7
2026-04-20,AKSGY,DIVIDEND,0.455487
2026-05-04,ALARK,DIVIDEND,3.185
2025-09-30,ALFAS,DIVIDEND,0.163043
2026-06-24,ARASE,DIVIDEND,2.0
2025-11-17,ARDYZ,DIVIDEND,0.032448
2025-11-25,ASELS,DIVIDEND,0.234649
2026-06-10,ATATP,DIVIDEND,1.0
2025-10-14,AVPGY,DIVIDEND,1.9375
2026-05-20,AVPGY,DIVIDEND,2.5
2026-06-05,AVPGY,DIVIDEND,2.5
2026-03-16,AYGAZ,DIVIDEND,12.55
2026-06-18,BASGZ,DIVIDEND,2.0
2025-12-17,BIMAS,DIVIDEND,2.5
2026-06-17,BIMAS,DIVIDEND,2.0
2026-09-16,BIMAS,DIVIDEND,2.5
2026-05-14,BIMAS,SPLIT,2.0
2026-07-03,BRKSN,DIVIDEND,0.058824
2026-09-04,BRKSN,DIVIDEND,0.058824
2026-05-12,CCOLA,DIVIDEND,1.43
2026-04-01,CIMSA,DIVIDEND,0.740278
2026-04-24,CLEBI,DIVIDEND,103.0
2025-12-11,DMRGD,SPLIT,8.0
2026-08-19,DNISI,SPLIT,4.3431732
2026-04-13,DOAS,DIVIDEND,15.0
2026-08-13,DOAS,DIVIDEND,15.0
2025-10-15,EBEBK,DIVIDEND,0.5
2025-12-15,EBEBK,DIVIDEND,0.5
2026-05-04,EGGUB,DIVIDEND,2.5
2026-08-25,ENERY,DIVIDEND,0.016667
2026-04-13,ENJSA,DIVIDEND,5.08
2025-10-08,ENKAI,DIVIDEND,0.833333
2026-01-14,ENKAI,DIVIDEND,0.833333
2026-04-08,ENKAI,DIVIDEND,2.1
2026-06-01,ENTRA,SPLIT,2.0
2026-06-03,EREGL,DIVIDEND,0.55
2026-03-27,FMIZP,DIVIDEND,4.756029
2025-10-20,FONET,SPLIT,6.5
2026-05-11,GRSEL,DIVIDEND,0.735294
2026-05-18,GRSEL,DIVIDEND,0.735294
2025-11-26,GWIND,DIVIDEND,0.640741
2026-07-01,INDES,DIVIDEND,0.217335
2026-06-03,ISDMR,DIVIDEND,4.5
2026-03-31,ISGYO,DIVIDEND,0.083442
2026-03-25,KCHOL,DIVIDEND,6.83
2026-05-08,KLKIM,DIVIDEND,0.652174
2026-06-18,KRVGD,DIVIDEND,0.036456
2026-07-06,LILAK,DIVIDEND,1.525466
2025-09-30,LKMNH,DIVIDEND,0.208333
2026-05-20,LKMNH,DIVIDEND,0.231481
2026-06-02,LMKDC,DIVIDEND,2.0
2026-06-15,LOGO,DIVIDEND,5.263158
2026-06-01,MACKO,DIVIDEND,2.7
2026-09-22,MACKO,DIVIDEND,1.8
2026-06-24,MHRGY,DIVIDEND,0.045397
2026-09-08,MHRGY,SPLIT,1.5
2026-03-17,NUHCM,DIVIDEND,22.5
2025-12-22,OBAMS,DIVIDEND,0.034916
2025-12-01,OBAMS,SPLIT,6.0
2025-09-30,OFSYM,DIVIDEND,0.417903
2025-11-25,OFSYM,DIVIDEND,0.417903
2026-09-23,OFSYM,DIVIDEND,0.420806
2026-08-19,ORGE,SPLIT,5.0
2025-10-30,OYAKC,DIVIDEND,1.0
2026-07-06,OZSUB,DIVIDEND,0.616667
2026-05-20,PETUN,DIVIDEND,0.245
2026-09-21,PETUN,DIVIDEND,0.245
2025-12-18,RGYAS,DIVIDEND,1.639386
2026-04-01,SAHOL,DIVIDEND,1.41356
2026-06-04,TABGD,DIVIDEND,5.0
2026-07-21,TAVHL,DIVIDEND,1.80499
2026-09-22,TAVHL,DIVIDEND,1.80499
2026-09-02,TBORG,DIVIDEND,9.520916
2025-12-26,TCELL,DIVIDEND,1.818182
2026-05-21,TRGYO,DIVIDEND,5.0
2025-09-30,TUPRS,DIVIDEND,7.421649
2026-03-16,TUPRS,DIVIDEND,10.379928
2026-06-19,ULKER,DIVIDEND,5.732842
2026-04-14,VAKKO,DIVIDEND,6.25
2026-06-24,VKGYO,DIVIDEND,0.08
2026-08-10,VKGYO,SPLIT,1.2753623
2026-06-10,YAPRK,DIVIDEND,0.025
2026-02-27,YAPRK,SPLIT,21.0
