ticker,decision,score,price,pb,pb_sector_median,pb_vs_sector,m2,chg_20d,chg_63d,off_52w_high,held,asof
BAGFS,AL,94.9,23.26,0.35,1.0,-0.648,0.6698071401552568,-0.1235870600413781,-0.10123643805431859,-0.44,0,2026-09-25
RGYAS,AL,98.4,193.8,0.39,1.05,-0.626,0.4479466060456381,-0.08799998563878675,0.009375015894572014,-0.1,0,2026-09-25
TUCLK,AL,98.6,4.37,0.39,1.0,-0.607,0.546245617257662,0.08977547035642686,0.08168315020347028,-0.574,0,2026-09-25
AFYON,AL,97.6,11.15,0.55,1.0,-0.446,0.6478655820782165,-0.12135539895790226,-0.15912523181981053,-0.383,0,2026-09-25
DEVA,AL,96.0,97.75,0.62,1.0,-0.379,0.47863784092826195,0.06713975576775155,0.3944365496111457,-0.07,0,2026-09-25
ULKER,AL,93.1,88.1,0.64,1.0,-0.361,0.6996730404214191,-0.04134932523029111,-0.13627452476351865,-0.367,0,2026-09-25
BRKSN,AL,95.5,6.37,0.65,1.0,-0.35,0.5284299547227211,-0.20375001430511475,-0.18333336797534827,-0.357,0,2026-09-25
AKSGY,AL,94.7,9.41,0.43,0.63,-0.318,0.4792635520674162,-0.06923836132900507,-0.00842991840205587,-0.088,0,2026-09-25
BNTAS,AL,95.3,5.36,0.72,1.0,-0.283,0.6499735793337664,-0.16249999161809692,-0.1598746022931532,-0.284,0,2026-09-25
FONET,AL,91.3,4.37,1.96,2.72,-0.279,0.7096611556114574,-0.15637065050624366,-0.19816513055101903,-0.296,0,2026-09-25
ARCLK,AL,91.1,85.8,0.75,1.0,-0.253,0.7029842121080685,-0.07791509685354103,-0.15551176830369495,-0.366,0,2026-09-25
ARSAN,AL,96.2,3.68,0.48,0.63,-0.236,0.5807763180617009,-0.13615026548411058,0.1500000037252902,-0.238,0,2026-09-25
ALARK,AL,96.8,107.0,0.49,0.63,-0.232,0.7321490129727144,-0.02903808563393273,-0.0046511627906976605,-0.089,0,2026-09-25
AYGAZ,AL,98.8,299.25,0.78,1.0,-0.216,0.3725962768517377,-0.08973384030418252,0.4331896342253465,-0.112,0,2026-09-25
DOHOL,AL,92.5,20.14,0.55,0.63,-0.13,0.5472199350932201,-0.11120920012060231,-0.04186494048292033,-0.183,0,2026-09-25
VAKKO,AL,95.7,62.4,0.98,1.05,-0.068,0.7313724915987956,-0.07280834032222117,-0.14754092722161827,-0.376,0,2026-09-25
EGGUB,AL,97.8,102.0,1.0,0.99,0.007,0.5663580845491178,-0.10917030567685593,0.02615692589747276,-0.283,0,2026-09-25
HTTBT,AL,92.1,31.12,2.72,2.42,0.122,0.5632378516235407,-0.15663957852662547,-0.21809041618635505,-0.386,0,2026-09-25
KCHOL,AL,93.5,216.5,0.69,0.61,0.141,0.6310181970866113,0.011682242990654235,0.10628514755296026,-0.04,0,2026-09-25
TURGG,AL,95.1,25.18,1.21,1.03,0.168,0.6819878214800428,-0.06671605884361509,-0.10071427481515072,-0.424,0,2026-09-25
ISDMR,AL,91.9,63.45,1.18,0.99,0.187,0.255150856833609,0.1631531008314362,0.0996533782317246,-0.042,0,2026-09-25
ENKAI,AL,97.4,86.45,1.26,1.03,0.222,0.5684189315825965,-0.028651719682672105,-0.05415759841355339,-0.224,0,2026-09-25
LOGO,AL,99.8,140.0,3.0,2.42,0.238,0.4137027313059573,0.027145978469546916,0.013758101466412764,-0.204,0,2026-09-25
AKMGY,AL,90.1,227.3,0.76,0.61,0.253,0.6127546321808045,-0.16125460128502656,-0.06460904093926823,-0.3,0,2026-09-25
NUHCM,AL,92.9,206.9,1.25,0.99,0.261,0.5755447427558307,-0.05091745919043866,-0.0646473926267902,-0.409,0,2026-09-25
BASGZ,AL,94.5,40.92,0.8,0.61,0.323,0.6860948226515766,-0.08619921204946879,-0.14856435706041626,-0.228,0,2026-09-25
TBORG,AL,96.4,127.6,1.38,0.99,0.388,0.5314044396033135,-0.1898412795293899,-0.03625374353201338,-0.387,0,2026-09-25
ORGE,AL,94.1,22.84,1.76,1.03,0.699,0.33518284751582617,-0.05149500726939038,-0.006956515104874272,-0.118,0,2026-09-25
TUPRS,AL,100.0,406.0,1.72,0.99,0.727,0.4175570481555023,0.025252525252525304,0.851345163475344,-0.027,0,2026-09-25
OFSYM,AL,90.5,60.2,1.74,0.99,0.75,0.48630280420015315,-0.10748697573501786,0.06454467860517399,-0.253,0,2026-09-25
MPARK,AL,99.0,427.0,1.86,1.03,0.801,0.5777091697336202,-0.016129032258064502,-0.013287117273252491,-0.137,0,2026-09-25
KRPLS,AL,99.2,11.8,1.95,0.99,0.964,0.280174420136375,0.10074625903021461,0.3009923470525049,-0.142,0,2026-09-25
TAVHL,AL,90.7,272.75,1.21,0.61,0.99,0.7100539815482774,-0.03621908127208484,-0.025892857142857162,-0.256,0,2026-09-25
TABGD,AL,97.2,220.2,2.15,1.03,1.085,0.5739962179980559,-0.11102139821885515,-0.024800735287111575,-0.238,0,2026-09-25
EBEBK,AL,98.0,80.65,2.25,1.03,1.175,0.4676563248780247,-0.046690272097941965,0.08986488548485005,-0.112,0,2026-09-25
BRSAN,AL,90.3,672.0,2.2,0.99,1.21,0.31986527075915694,-0.07501720578114246,0.17894736842105252,-0.127,0,2026-09-25
CCOLA,AL,93.3,77.9,2.38,0.99,1.397,0.4083037945101101,0.0032195749528309836,-0.060879995276121535,-0.156,0,2026-09-25
BIMAS,AL,98.2,424.75,2.53,1.03,1.45,0.3531214187052598,0.022262334536702788,0.14487870619946097,-0.023,0,2026-09-25
EMNIS,AL,96.6,140.0,3.21,0.99,2.231,0.45191370371152273,-0.09090909090909094,-0.09677419354838712,-0.358,0,2026-09-25
KONYA,AL,92.7,3782.5,3.49,0.99,2.512,0.5619730775903516,-0.0013201320132013583,-0.022609819121446995,-0.275,0,2026-09-25
MACKO,AL,91.5,26.9,5.22,1.03,4.049,0.4488403006318331,-0.2527777883741591,-0.20882354063146258,-0.426,0,2026-09-25
INVES,AL,93.7,706.0,3.5,0.61,4.769,0.6078649913202077,-0.13902439024390245,-0.012587412587412583,-0.176,0,2026-09-25
GUBRF,AL,97.0,458.0,4.32,0.53,7.104,0.322869951426257,-0.07985936715218478,0.015521064301552201,-0.258,0,2026-09-25
CLEBI,AL,99.6,1400.0,,,,,-0.05277401894451961,-0.12390488110137676,-0.358,0,2026-09-25
FMIZP,AL,99.4,277.0,,,,,-0.07202680067001677,-0.050556983718937465,-0.24,0,2026-09-25
AHGAZ,AL,94.3,44.26,,,,,0.16473679793508422,0.1897848767150372,0.0,0,2026-09-25
ENJSA,AL,93.9,107.3,,,,,-0.08990668648799305,0.016098528429934866,-0.155,0,2026-09-25
OYAKC,AL,92.3,21.1,,,,,-0.08260867906653357,0.012476018569008929,-0.236,0,2026-09-25
CEOEM,AL,91.7,20.24,,,,,-0.19040000915527344,-0.25037037884747537,-0.468,0,2026-09-25
AVPGY,AL,90.9,53.3,,,,,-0.03354491818010652,-0.03090910478071729,-0.229,0,2026-09-25
ESCOM,IZLE,89.3,4.52,0.05,2.72,-0.98,0.532677476819845,-0.1971581014123357,-0.2000000168791911,-0.32,0,2026-09-25
MERIT,IZLE,85.8,14.03,0.23,1.05,-0.779,0.5915014665656995,-0.1164987637366185,-0.18144689424875393,-0.41,0,2026-09-25
IHEVA,IZLE,84.2,1.69,0.25,1.0,-0.748,0.6182004207280021,-0.16336630040694033,-0.1835748252547249,-0.486,0,2026-09-25
PETUN,IZLE,83.8,10.5,0.28,1.0,-0.716,0.5490142563501963,-0.0901213141499898,-0.13437758442395908,-0.32,0,2026-09-25
KLGYO,IZLE,75.9,3.77,0.19,0.63,-0.695,0.7318883068933688,-0.2665369496392226,-0.25787400835704066,-0.525,0,2026-09-25
DNISI,IZLE,76.1,4.1,0.31,1.0,-0.693,0.7490605118500344,-0.12951170458045114,-0.17483732247744876,-0.271,0,2026-09-25
AYDEM,IZLE,81.6,24.38,0.35,1.05,-0.666,0.7534686170163758,-0.11021899634338983,-0.028685307161774865,-0.238,0,2026-09-25
CANTE,IZLE,88.7,1.14,0.36,1.05,-0.657,0.7208233318657615,-0.1230769019155099,-0.1739130509898733,-0.579,0,2026-09-25
INDES,IZLE,84.8,10.61,0.94,2.72,-0.655,0.5740562923792866,-0.11583336194356286,-0.06189219601843099,-0.161,0,2026-09-25
ENTRA,IZLE,80.6,4.18,0.38,1.05,-0.634,0.5095082828890449,-0.06278031556355845,-0.12368975994697806,-0.219,0,2026-09-25
